Portland,Minnesota,time_rem
22-16,9-30,48M 0S
0,0,47M 40S
2,0,45M 29S
2,2,44M 50S
2,3,44M 17S
2,4,44M 17S
2,6,43M 24S
3,6,43M 0S
3,9,42M 49S
6,9,42M 26S
6,11,41M 46S
8,11,41M 31S
10,11,40M 18S
10,14,39M 57S
12,14,39M 18S
14,14,38M 49S
14,17,38M 32S
16,17,38M 13S
16,19,37M 51S
17,19,37M 41S
17,20,37M 27S
17,21,37M 27S
Jump ball: J. Nowell vs. D. Lillard (K. Towns gains possession),NA,37M 3S
19,21,36M 36S
20,21,36M 36S
20,24,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,26,34M 41S
22,26,34M 22S
24,26,33M 46S
24,28,33M 31S
26,28,33M 19S
26,30,33M 2S
28,30,32M 49S
30,30,32M 13S
33,30,31M 51S
33,32,31M 17S
36,32,30M 58S
36,34,30M 10S
38,34,29M 54S
38,36,28M 35S
40,36,28M 15S
40,38,28M 1S
40,41,27M 35S
41,41,27M 17S
41,43,26M 42S
44,43,26M 24S
47,43,25M 54S
49,43,25M 20S
49,45,25M 3S
49,47,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,49,23M 31S
51,49,23M 9S
51,50,22M 27S
51,51,22M 27S
53,51,21M 38S
53,53,21M 15S
55,53,21M 9S
55,56,20M 0S
55,57,19M 24S
55,58,19M 24S
55,61,18M 46S
58,61,18M 27S
60,61,17M 0S
60,63,16M 42S
63,63,16M 18S
63,65,16M 6S
63,68,15M 43S
66,68,15M 25S
66,70,15M 9S
68,70,14M 59S
69,70,14M 59S
69,72,14M 46S
69,73,14M 7S
69,74,14M 7S
72,74,12M 54S
72,75,12M 41S
72,76,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,77,11M 51S
72,78,11M 51S
72,81,11M 13S
72,83,10M 30S
75,83,10M 13S
75,85,9M 53S
75,86,9M 53S
76,86,8M 33S
79,86,8M 3S
79,89,7M 51S
82,89,7M 36S
82,90,7M 21S
82,91,7M 21S
82,94,7M 3S
83,94,6M 49S
84,94,6M 49S
84,97,6M 32S
84,98,5M 48S
87,98,5M 0S
90,98,4M 29S
90,100,4M 9S
93,100,3M 28S
93,103,2M 52S
96,103,2M 40S
96,104,2M 17S
98,104,2M 11S
99,104,2M 11S
99,105,1M 45S
99,106,1M 45S
100,106,1M 36S
101,106,1M 36S
102,106,40S
103,106,40S
104,106,40S
104,107,29S
104,108,29S
104,109,15S
104,110,15S
105,110,10S
106,110,10S
107,110,10S
107,111,9S
107,112,9S
109,112,3S
109,113,3S
109,114,3S
112,114,0S
End of 4th quarter,NA,0S
