Boston,Golden State,time_rem
11-8,11-10,48M 0S
0,3,47M 49S
2,3,47M 33S
5,3,47M 11S
5,5,46M 55S
5,7,46M 31S
7,7,46M 12S
9,7,45M 40S
9,10,45M 28S
9,13,44M 47S
11,13,44M 13S
11,16,43M 33S
11,18,43M 0S
13,18,42M 51S
14,18,42M 28S
15,18,42M 28S
18,18,41M 39S
18,21,40M 43S
18,23,40M 15S
18,24,40M 15S
20,24,39M 58S
20,27,39M 37S
22,27,38M 32S
22,29,38M 21S
22,31,38M 1S
24,31,37M 39S
24,33,37M 23S
24,35,37M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,35,35M 11S
26,37,34M 49S
29,37,34M 35S
29,38,33M 48S
30,38,33M 32S
32,38,33M 8S
34,38,32M 43S
36,38,31M 55S
39,38,31M 14S
39,40,30M 51S
41,40,29M 23S
43,40,28M 59S
43,42,28M 44S
43,44,28M 24S
46,44,28M 4S
46,47,27M 51S
47,47,27M 26S
47,49,27M 7S
50,49,26M 18S
50,51,24M 40S
50,52,24M 40S
51,52,24M 29S
52,52,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,52,23M 38S
55,53,23M 25S
57,53,22M 42S
57,56,22M 37S
58,56,22M 22S
59,56,22M 22S
61,56,21M 32S
61,58,20M 50S
62,58,20M 26S
63,58,20M 26S
63,59,19M 31S
63,60,19M 31S
66,60,19M 12S
66,63,17M 26S
68,63,17M 11S
70,63,16M 47S
72,63,16M 27S
72,66,16M 7S
74,66,15M 44S
74,69,15M 1S
74,71,14M 41S
74,72,14M 41S
75,72,14M 33S
76,72,14M 33S
76,73,14M 22S
79,73,14M 3S
79,75,13M 49S
79,76,13M 25S
79,77,13M 25S
81,77,13M 11S
81,80,13M 3S
82,80,12M 42S
83,80,12M 42S
83,83,12M 35S
86,83,12M 15S
86,85,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,85,10M 35S
89,88,10M 7S
89,90,9M 13S
91,90,8M 50S
91,91,8M 34S
91,93,8M 3S
91,94,7M 32S
93,94,7M 10S
96,94,6M 48S
96,96,6M 31S
98,96,6M 7S
101,96,5M 18S
103,96,4M 56S
104,96,4M 56S
106,96,4M 0S
106,98,3M 17S
106,99,3M 17S
106,100,2M 0S
106,101,2M 0S
106,102,2M 0S
107,102,1M 35S
107,104,1M 0S
108,104,49S
109,104,49S
110,104,34S
111,104,34S
111,107,28S
End of 4th quarter,NA,0S
