Orlando,Toronto,time_rem
18-38,23-34,48M 0S
0,0,47M 51S
0,2,47M 33S
1,2,47M 20S
4,2,46M 50S
4,4,45M 57S
4,6,45M 31S
6,6,45M 17S
7,6,45M 17S
10,6,44M 16S
13,6,43M 41S
13,7,43M 16S
13,8,43M 16S
15,8,41M 42S
16,8,40M 46S
16,9,40M 33S
16,10,40M 33S
17,10,40M 17S
17,12,39M 28S
17,14,38M 55S
18,14,38M 38S
18,17,37M 59S
21,17,37M 37S
21,19,37M 21S
22,19,37M 9S
22,22,36M 58S
22,24,36M 28S
24,24,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,24,35M 30S
26,26,33M 52S
26,29,33M 22S
27,29,33M 2S
28,29,33M 2S
28,31,32M 14S
31,31,31M 49S
31,34,31M 36S
31,35,31M 18S
31,36,31M 18S
32,36,31M 5S
32,37,30M 57S
32,38,30M 57S
34,38,30M 39S
36,38,30M 0S
36,41,29M 25S
38,41,29M 6S
38,43,27M 43S
38,45,27M 11S
41,45,26M 53S
43,45,26M 19S
46,45,25M 4S
46,47,24M 48S
48,47,24M 35S
49,47,24M 35S
51,47,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,47,23M 10S
53,49,22M 53S
53,52,22M 26S
55,52,21M 59S
55,54,21M 45S
55,57,20M 54S
56,57,20M 44S
57,57,20M 44S
59,57,19M 49S
59,59,19M 33S
59,61,19M 1S
61,61,18M 46S
61,62,18M 22S
61,63,18M 22S
61,64,18M 22S
61,67,17M 51S
61,70,17M 29S
Jump ball: P. Watson vs. T. Ross (C. Boucher gains possession),NA,17M 2S
61,73,16M 46S
61,76,16M 19S
62,76,15M 36S
63,76,15M 36S
63,78,15M 18S
65,78,14M 59S
65,79,14M 49S
67,79,14M 32S
68,79,14M 3S
68,81,13M 41S
68,83,12M 53S
70,83,12M 44S
70,85,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,87,11M 17S
72,87,10M 49S
72,88,10M 36S
72,89,10M 36S
74,89,9M 56S
74,91,9M 41S
76,91,8M 58S
76,94,8M 13S
78,94,7M 9S
78,95,6M 52S
78,96,6M 52S
79,96,6M 40S
80,96,6M 40S
80,98,5M 38S
82,98,5M 24S
82,100,5M 8S
85,100,5M 0S
86,100,5M 0S
86,102,4M 35S
88,102,4M 16S
88,105,4M 4S
90,105,3M 44S
92,105,3M 14S
92,107,2M 49S
93,107,2M 36S
94,107,2M 36S
94,110,2M 17S
95,110,1M 58S
96,110,1M 58S
96,112,1M 20S
96,113,1M 20S
98,113,1M 5S
99,113,50S
100,113,50S
102,113,30S
End of 4th quarter,NA,0S
