Milwaukee,Orlando,time_rem
7-4,6-5,48M 0S
2,0,47M 42S
2,2,46M 58S
4,2,46M 31S
4,5,45M 48S
6,5,45M 35S
8,5,45M 12S
11,5,44M 35S
11,7,44M 18S
11,9,43M 22S
11,12,42M 58S
14,12,42M 39S
14,15,42M 22S
14,17,41M 46S
16,17,41M 27S
16,19,41M 8S
16,21,38M 36S
18,21,38M 17S
18,23,37M 34S
20,23,37M 12S
22,23,36M 47S
23,23,36M 29S
24,23,36M 29S
25,23,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,25,35M 45S
25,27,35M 14S
27,27,35M 2S
27,29,34M 26S
30,29,34M 9S
30,32,33M 35S
32,32,33M 16S
33,32,32M 54S
34,32,32M 54S
35,32,32M 54S
35,34,32M 40S
36,34,32M 31S
37,34,32M 7S
38,34,32M 7S
38,35,31M 51S
40,35,31M 37S
Jump ball: A. Gordon vs. J. Holiday (J. Bone gains possession),NA,31M 20S
40,38,31M 11S
43,38,30M 44S
43,40,29M 57S
45,40,29M 36S
46,40,29M 36S
48,40,29M 16S
49,40,28M 56S
50,40,28M 56S
50,43,28M 18S
52,43,27M 37S
52,45,27M 0S
55,45,26M 36S
55,47,26M 11S
57,47,26M 1S
57,49,25M 46S
59,49,25M 34S
61,49,25M 9S
61,51,24M 46S
62,51,24M 30S
63,51,24M 30S
63,54,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,54,23M 42S
65,57,22M 59S
68,57,22M 12S
68,59,21M 57S
70,59,21M 12S
70,62,21M 0S
73,62,20M 47S
73,64,19M 24S
73,65,19M 24S
73,66,18M 59S
73,67,18M 59S
74,67,18M 46S
74,69,18M 32S
74,70,18M 32S
76,70,18M 19S
76,72,17M 14S
78,72,16M 30S
78,73,16M 11S
80,73,15M 55S
80,74,15M 8S
80,75,15M 8S
80,78,14M 40S
82,78,13M 23S
82,80,13M 6S
84,80,12M 51S
86,80,12M 21S
86,82,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,82,11M 21S
Jump ball: G. Clark vs. B. Portis (T. Ross gains possession),NA,11M 19S
88,83,10M 38S
88,84,10M 38S
88,86,9M 42S
91,86,9M 23S
94,86,8M 52S
94,88,8M 36S
96,88,8M 22S
97,88,8M 22S
100,88,7M 59S
103,88,7M 18S
105,88,6M 44S
107,88,6M 21S
110,88,5M 54S
110,90,5M 15S
112,90,5M 3S
112,92,4M 44S
115,92,4M 10S
117,92,3M 51S
117,95,2M 23S
119,95,1M 46S
119,97,1M 6S
121,97,54S
121,99,38S
End of 4th quarter,NA,0S
