Phoenix,Portland,time_rem
25-11,21-15,48M 0S
2,0,47M 54S
2,2,47M 36S
2,5,47M 6S
5,5,46M 50S
5,6,46M 16S
7,6,46M 2S
7,8,45M 30S
7,10,44M 51S
9,10,44M 36S
11,10,44M 17S
11,13,43M 42S
13,13,43M 28S
13,16,43M 7S
15,16,42M 39S
15,18,42M 11S
17,18,41M 59S
17,20,41M 19S
19,20,41M 12S
19,23,40M 59S
22,23,40M 7S
22,25,39M 52S
24,25,39M 32S
24,27,39M 6S
24,29,38M 37S
27,29,38M 24S
27,31,38M 9S
30,31,37M 53S
30,33,37M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,35,35M 44S
32,35,35M 24S
32,38,35M 8S
34,38,34M 24S
35,38,34M 3S
35,41,33M 30S
37,41,33M 3S
37,44,31M 52S
37,47,31M 35S
40,47,31M 19S
40,48,30M 59S
40,49,30M 59S
42,49,30M 21S
42,52,30M 8S
42,55,29M 20S
44,55,29M 6S
46,55,28M 0S
48,55,27M 36S
48,58,27M 21S
49,58,26M 50S
50,58,26M 50S
51,58,26M 20S
52,58,26M 20S
52,60,25M 52S
55,60,25M 34S
57,60,25M 5S
58,60,25M 5S
60,60,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,62,23M 45S
62,62,23M 21S
62,64,23M 4S
62,66,22M 31S
64,66,22M 15S
64,68,21M 44S
65,68,21M 32S
67,68,21M 7S
67,69,21M 1S
67,70,21M 1S
69,70,20M 45S
69,73,20M 13S
71,73,19M 34S
71,75,19M 22S
71,78,18M 47S
71,79,18M 20S
71,80,18M 20S
73,80,17M 58S
73,83,17M 30S
75,83,17M 5S
75,86,16M 41S
77,86,16M 30S
77,88,16M 12S
79,88,15M 49S
79,89,15M 37S
79,90,15M 37S
81,90,15M 25S
82,90,15M 25S
82,92,14M 52S
84,92,14M 30S
85,92,14M 30S
85,94,13M 46S
88,94,13M 29S
90,94,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,94,11M 39S
92,96,11M 20S
95,96,10M 59S
98,96,10M 22S
98,97,10M 7S
99,97,9M 42S
100,97,9M 30S
101,97,9M 30S
101,98,8M 23S
101,99,8M 23S
104,99,7M 44S
105,99,7M 7S
106,99,7M 7S
106,102,6M 34S
109,102,6M 19S
109,104,6M 6S
111,104,5M 35S
114,104,5M 1S
114,105,4M 5S
114,106,4M 5S
116,106,3M 54S
116,108,3M 36S
118,108,3M 15S
121,108,2M 40S
121,110,2M 30S
121,111,2M 30S
121,114,1M 48S
123,114,1M 35S
124,114,1M 10S
125,114,1M 10S
125,115,1M 1S
125,116,1M 1S
127,116,35S
127,118,28S
127,121,0S
End of 4th quarter,NA,0S
