Phoenix,Boston,time_rem
42-17,32-27,48M 0S
0,0,47M 53S
0,2,47M 38S
0,4,47M 2S
2,4,46M 51S
4,4,45M 34S
4,7,45M 10S
6,7,44M 49S
8,7,43M 53S
8,9,43M 31S
10,9,43M 22S
10,11,42M 53S
10,14,42M 22S
10,17,41M 57S
11,17,41M 33S
11,19,40M 57S
11,21,40M 14S
13,21,39M 50S
16,21,39M 25S
18,21,38M 37S
21,21,38M 0S
21,24,37M 6S
21,25,36M 25S
21,26,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,28,35M 49S
21,29,34M 39S
21,30,34M 39S
21,33,34M 16S
21,35,33M 35S
24,35,33M 18S
26,35,32M 52S
27,35,32M 2S
28,35,32M 2S
29,35,32M 2S
29,37,30M 53S
31,37,29M 53S
33,37,29M 26S
33,39,29M 8S
33,42,27M 54S
35,42,27M 35S
35,45,27M 20S
37,45,26M 45S
37,47,26M 23S
37,48,24M 44S
37,50,24M 35S
37,53,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
39,53,23M 39S
39,54,22M 53S
39,55,22M 53S
39,57,22M 15S
41,57,21M 59S
41,58,21M 39S
41,59,21M 39S
43,59,21M 20S
43,61,20M 53S
45,61,20M 1S
45,63,19M 42S
45,64,19M 42S
45,66,19M 13S
47,66,18M 54S
48,66,18M 18S
49,66,18M 18S
51,66,17M 55S
51,68,17M 42S
53,68,16M 46S
55,68,16M 23S
57,68,15M 59S
59,68,15M 45S
59,69,15M 21S
61,69,15M 7S
61,71,14M 55S
61,73,14M 26S
63,73,13M 58S
63,74,13M 39S
63,75,13M 39S
63,76,13M 8S
63,77,13M 8S
65,77,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,79,11M 3S
68,79,10M 48S
68,82,9M 39S
70,82,9M 5S
72,82,8M 34S
72,85,7M 30S
72,86,6M 8S
72,87,6M 8S
74,87,5M 54S
75,87,5M 15S
76,87,5M 15S
76,90,4M 56S
79,90,4M 16S
81,90,3M 40S
81,91,2M 51S
81,92,2M 51S
81,95,2M 20S
83,95,2M 8S
86,95,1M 29S
86,96,1M 7S
86,97,1M 7S
86,99,41S
End of 4th quarter,NA,0S
