Toronto,Miami,time_rem
16-17,15-17,48M 0S
0,3,47M 43S
2,3,47M 24S
2,6,46M 50S
Jump ball: B. Adebayo vs. O. Anunoby (K. Nunn gains possession),NA,45M 58S
5,6,45M 38S
6,6,45M 10S
8,6,44M 41S
8,8,44M 31S
8,10,44M 10S
11,10,43M 55S
11,12,43M 38S
14,12,43M 2S
14,14,42M 32S
14,15,42M 32S
17,15,41M 50S
19,15,41M 21S
20,15,41M 21S
20,17,41M 5S
20,19,40M 47S
20,20,40M 24S
20,21,40M 24S
23,21,39M 27S
23,22,39M 21S
26,22,38M 59S
29,22,38M 0S
29,23,37M 44S
29,25,37M 15S
32,25,36M 52S
32,26,36M 46S
32,27,36M 46S
32,28,36M 36S
32,29,36M 36S
32,32,36M 30S
35,32,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,35,35M 19S
37,35,34M 34S
39,35,33M 57S
39,38,33M 48S
41,38,32M 40S
41,41,32M 4S
42,41,31M 40S
43,41,31M 40S
43,44,31M 24S
43,46,30M 43S
45,46,30M 34S
45,47,29M 45S
45,48,29M 45S
48,48,29M 22S
48,51,29M 0S
48,53,28M 41S
48,55,28M 9S
49,55,27M 57S
50,55,27M 57S
50,57,27M 42S
50,60,27M 16S
50,62,26M 56S
50,65,26M 9S
53,65,25M 51S
56,65,24M 45S
56,66,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,66,22M 53S
61,66,22M 24S
63,66,21M 55S
66,66,21M 29S
66,68,21M 13S
68,68,20M 47S
68,71,20M 21S
68,74,19M 52S
70,74,19M 27S
70,75,19M 8S
70,76,19M 8S
70,78,18M 38S
72,78,18M 25S
72,80,17M 51S
74,80,16M 59S
74,81,16M 39S
74,82,16M 39S
74,85,15M 4S
76,85,13M 57S
77,85,13M 57S
77,86,13M 42S
77,87,13M 42S
78,87,13M 29S
79,87,13M 0S
80,87,13M 0S
80,88,12M 45S
80,89,12M 45S
83,89,12M 30S
83,92,12M 10S
85,92,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,95,11M 2S
87,95,10M 44S
87,97,9M 34S
90,97,9M 25S
93,97,8M 33S
93,98,7M 57S
93,100,7M 24S
94,100,6M 14S
95,100,6M 14S
98,100,5M 24S
98,103,5M 1S
98,105,4M 36S
101,105,4M 19S
101,108,3M 23S
101,109,2M 45S
101,110,2M 45S
101,112,2M 6S
104,112,1M 50S
106,112,1M 27S
Jump ball: B. Adebayo vs. F. VanVleet (J. Butler gains possession),NA,1M 0S
106,114,32S
107,114,14S
108,114,14S
108,115,12S
108,116,12S
End of 4th quarter,NA,0S
