Atlanta,Philadelphia,time_rem
3-2,2-3,48M 0S
0,3,47M 46S
2,3,47M 28S
2,5,47M 2S
2,7,46M 26S
4,7,46M 16S
4,9,45M 57S
6,9,45M 47S
6,11,45M 32S
7,11,45M 13S
8,11,45M 13S
9,11,45M 13S
9,13,44M 43S
9,16,44M 4S
11,16,43M 43S
11,18,43M 27S
13,18,43M 3S
13,21,42M 47S
14,21,42M 34S
14,23,42M 13S
14,24,41M 49S
14,26,41M 12S
16,26,40M 50S
19,26,39M 27S
19,29,39M 10S
19,31,38M 38S
19,33,37M 56S
20,33,37M 47S
21,33,37M 47S
21,36,37M 37S
21,38,37M 2S
22,38,37M 0S
24,38,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,38,33M 55S
27,40,33M 25S
28,40,32M 34S
28,43,31M 58S
29,43,31M 50S
29,46,31M 26S
31,46,31M 12S
31,47,29M 48S
31,48,29M 48S
31,51,29M 25S
31,52,28M 58S
32,52,28M 52S
32,53,28M 43S
32,54,28M 43S
32,55,28M 24S
32,56,27M 43S
34,56,27M 0S
34,58,26M 7S
36,58,25M 53S
36,60,25M 22S
36,62,24M 59S
37,62,24M 47S
40,62,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
41,62,22M 59S
42,62,22M 59S
44,62,22M 40S
44,65,22M 22S
44,68,21M 54S
44,69,21M 22S
44,70,21M 22S
46,70,20M 48S
46,71,20M 31S
46,72,20M 31S
49,72,20M 21S
52,72,19M 38S
52,75,18M 7S
54,75,17M 39S
54,78,16M 47S
56,78,16M 9S
56,81,15M 53S
58,81,15M 35S
58,83,15M 19S
61,83,15M 9S
61,85,14M 10S
63,85,13M 56S
64,85,13M 17S
65,85,13M 17S
65,86,13M 7S
65,87,13M 7S
67,87,12M 48S
68,87,12M 32S
69,87,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,87,11M 15S
73,87,10M 44S
76,87,10M 15S
76,89,9M 46S
78,89,9M 29S
78,91,9M 8S
78,93,8M 39S
80,93,8M 26S
80,94,8M 8S
80,95,8M 8S
82,95,7M 54S
82,96,7M 31S
84,96,7M 20S
84,97,7M 1S
84,98,7M 1S
86,98,6M 44S
86,100,6M 25S
89,100,6M 11S
92,100,5M 25S
92,101,4M 46S
92,102,4M 46S
94,102,4M 30S
94,103,4M 23S
94,104,4M 23S
96,104,4M 12S
98,104,3M 21S
100,104,2M 57S
102,104,2M 17S
103,104,1M 26S
104,104,1M 26S
105,104,1M 26S
107,104,52S
108,104,8S
109,104,8S
109,106,0S
End of 4th quarter,NA,0S
