Sacramento,Dallas,time_rem
27-37,36-28,48M 0S
3,0,47M 36S
6,0,47M 3S
8,0,46M 35S
8,1,46M 23S
8,2,46M 23S
8,4,46M 5S
10,4,45M 53S
11,4,45M 53S
11,6,45M 40S
11,7,45M 40S
14,7,44M 48S
14,9,44M 25S
14,11,43M 40S
16,11,43M 6S
16,14,42M 54S
19,14,42M 12S
19,15,41M 52S
19,16,41M 48S
21,16,41M 10S
21,18,40M 52S
23,18,40M 30S
26,18,40M 3S
26,20,39M 38S
26,22,38M 49S
29,22,38M 36S
32,22,38M 5S
32,23,37M 57S
32,25,37M 29S
34,25,37M 18S
36,25,36M 49S
36,26,36M 42S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,27,35M 13S
36,28,35M 13S
36,30,34M 51S
37,30,34M 23S
37,32,33M 9S
39,32,32M 59S
39,34,32M 30S
39,37,32M 9S
39,39,31M 40S
41,39,31M 23S
41,41,31M 7S
43,41,29M 18S
43,43,29M 7S
45,43,28M 13S
46,43,28M 13S
46,44,28M 0S
46,45,28M 0S
48,45,27M 44S
50,45,27M 16S
50,46,26M 57S
50,47,26M 57S
52,47,26M 35S
53,47,26M 18S
54,47,26M 18S
56,47,26M 4S
56,48,25M 21S
56,49,25M 21S
58,49,25M 5S
58,50,24M 56S
58,51,24M 56S
58,54,24M 32S
60,54,24M 21S
61,54,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,56,23M 39S
63,56,23M 17S
63,58,22M 36S
65,58,22M 19S
65,59,22M 9S
65,60,22M 9S
65,62,20M 48S
67,62,20M 31S
67,63,20M 23S
69,63,20M 9S
70,63,20M 9S
70,65,19M 30S
72,65,19M 15S
72,67,18M 21S
75,67,17M 59S
77,67,16M 32S
78,67,15M 57S
79,67,15M 57S
81,67,14M 25S
81,70,14M 6S
83,70,13M 44S
85,70,13M 18S
87,70,12M 24S
87,72,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,72,11M 38S
90,74,11M 21S
90,76,10M 54S
90,77,10M 54S
90,78,10M 27S
90,79,10M 27S
92,79,9M 45S
92,80,9M 39S
92,81,9M 39S
94,81,9M 25S
94,83,9M 11S
94,85,8M 45S
96,85,8M 19S
96,87,8M 5S
99,87,7M 14S
99,89,5M 38S
99,91,5M 4S
99,94,4M 2S
101,94,3M 44S
103,94,3M 11S
103,97,2M 4S
106,97,1M 37S
108,97,1M 4S
110,97,31S
111,97,31S
111,99,28S
End of 4th quarter,NA,0S
