San Antonio,Phoenix,time_rem
27-28,40-16,48M 0S
0,0,47M 45S
2,0,47M 31S
2,2,47M 9S
4,2,46M 10S
4,4,45M 45S
4,6,44M 23S
4,8,44M 2S
4,10,43M 19S
7,10,42M 52S
7,11,42M 24S
10,11,42M 15S
10,13,42M 4S
12,13,41M 50S
12,15,41M 37S
14,15,41M 21S
16,15,40M 40S
17,15,40M 40S
17,17,39M 58S
19,17,39M 39S
22,17,39M 6S
23,17,38M 40S
24,17,38M 40S
24,19,38M 18S
26,19,37M 40S
28,19,37M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,19,35M 41S
31,21,34M 54S
34,21,34M 35S
34,23,34M 15S
34,25,33M 46S
37,25,33M 18S
40,25,32M 58S
42,25,32M 30S
44,25,31M 49S
46,25,31M 31S
46,27,31M 19S
48,27,31M 1S
48,30,30M 49S
51,30,30M 34S
51,32,30M 16S
53,32,29M 56S
54,32,29M 34S
54,34,29M 19S
54,36,28M 39S
56,36,28M 17S
56,37,28M 6S
56,38,28M 6S
56,39,27M 24S
58,39,27M 11S
60,39,26M 50S
62,39,26M 23S
62,41,25M 43S
62,43,25M 24S
62,45,24M 54S
63,45,24M 35S
64,45,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,45,23M 26S
66,47,23M 10S
66,49,22M 35S
68,49,22M 9S
70,49,21M 31S
Jump ball: D. White vs. J. Crowder (K. Johnson gains possession),NA,20M 26S
72,49,19M 45S
Jump ball: D. Ayton vs. D. Eubanks (D. Booker gains possession),NA,19M 13S
72,51,18M 50S
75,51,18M 29S
75,54,17M 21S
77,54,16M 56S
77,56,16M 37S
79,56,16M 18S
80,56,15M 55S
81,56,15M 55S
81,58,15M 44S
83,58,15M 27S
85,58,14M 44S
85,60,14M 20S
87,60,13M 21S
87,61,13M 5S
87,62,13M 5S
87,65,12M 36S
87,68,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,71,11M 23S
90,71,10M 27S
92,71,9M 53S
92,73,9M 34S
94,73,9M 15S
94,76,9M 2S
96,76,8M 37S
98,76,7M 19S
101,76,6M 17S
103,76,5M 47S
103,78,5M 37S
103,80,5M 9S
106,80,4M 21S
107,80,4M 21S
109,80,3M 40S
111,80,2M 57S
111,82,1M 9S
111,84,52S
111,85,25S
End of 4th quarter,NA,0S
