LA Clippers,Minnesota,time_rem
18-8,6-19,48M 0S
2,0,47M 44S
2,2,46M 58S
2,4,46M 31S
2,5,46M 2S
2,6,46M 2S
4,6,45M 42S
4,8,45M 23S
7,8,45M 14S
7,11,44M 59S
9,11,44M 45S
9,13,44M 27S
9,15,44M 8S
9,18,43M 36S
11,18,43M 22S
11,21,42M 29S
11,22,41M 47S
13,22,41M 35S
13,24,41M 25S
16,24,41M 13S
17,24,38M 37S
18,24,38M 37S
18,25,38M 17S
18,27,37M 18S
20,27,37M 6S
21,27,37M 6S
21,29,36M 46S
24,29,36M 36S
24,32,36M 32S
27,32,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,34,33M 47S
27,37,33M 0S
28,37,32M 47S
29,37,32M 47S
29,38,32M 35S
29,41,32M 32S
Jump ball: I. Zubac vs. J. McDaniels (M. Morris gains possession),NA,32M 14S
31,41,32M 7S
31,44,31M 50S
34,44,30M 16S
37,44,29M 38S
38,44,28M 58S
39,44,28M 58S
39,46,28M 43S
39,48,28M 2S
41,48,27M 42S
43,48,27M 30S
43,50,27M 5S
45,50,26M 48S
45,53,26M 22S
46,53,25M 43S
47,53,25M 43S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,56,23M 44S
49,56,23M 15S
50,56,23M 15S
52,56,22M 35S
53,56,21M 52S
54,56,21M 52S
56,56,20M 28S
57,56,19M 56S
59,56,19M 18S
59,58,19M 4S
61,58,18M 29S
62,58,18M 9S
63,58,18M 9S
63,61,17M 51S
63,64,17M 28S
65,64,17M 9S
67,64,16M 50S
67,67,16M 36S
70,67,16M 12S
70,69,15M 55S
72,69,15M 36S
75,69,14M 27S
77,69,14M 7S
79,69,13M 44S
79,71,13M 25S
80,71,12M 35S
80,73,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,73,11M 49S
82,75,11M 33S
84,75,11M 20S
86,75,10M 44S
86,77,10M 21S
86,78,9M 53S
86,79,9M 53S
86,81,9M 26S
86,84,8M 59S
88,84,8M 43S
91,84,8M 22S
91,86,7M 42S
91,87,7M 42S
94,87,7M 28S
96,87,6M 58S
98,87,6M 41S
99,87,6M 28S
100,87,6M 28S
100,89,6M 0S
100,92,5M 30S
102,92,5M 10S
104,92,4M 31S
104,93,3M 41S
104,94,3M 41S
107,94,3M 29S
Jump ball: J. Okogie vs. L. Williams (A. Edwards gains possession),NA,2M 58S
107,95,2M 55S
107,96,2M 55S
109,96,2M 27S
109,97,1M 49S
109,99,1M 38S
112,99,1M 15S
112,101,1M 6S
112,102,43S
112,103,43S
113,103,38S
114,103,38S
114,105,31S
115,105,28S
115,107,18S
116,107,16S
117,107,16S
117,110,5S
118,110,5S
119,110,5S
119,112,0S
End of 4th quarter,NA,0S
