San Antonio,Utah,time_rem
31-34,48-18,48M 0S
0,0,47M 43S
0,3,47M 30S
0,5,46M 57S
2,5,46M 37S
3,5,46M 17S
5,5,45M 59S
6,5,45M 26S
6,8,44M 56S
8,8,44M 35S
10,8,44M 6S
10,10,43M 49S
10,11,43M 49S
10,13,43M 12S
10,15,42M 43S
13,15,42M 30S
13,17,42M 16S
15,17,42M 4S
15,19,41M 48S
16,19,41M 30S
17,19,41M 30S
17,21,41M 18S
17,24,40M 52S
17,25,40M 52S
19,25,40M 35S
19,27,40M 12S
22,27,39M 59S
22,29,39M 22S
24,29,39M 6S
24,31,38M 56S
26,31,38M 38S
26,33,37M 50S
26,35,36M 50S
26,38,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,41,35M 40S
26,43,35M 13S
26,46,34M 46S
26,48,34M 9S
27,48,33M 54S
27,50,33M 13S
27,53,32M 42S
29,53,32M 24S
29,55,32M 8S
29,57,31M 0S
31,57,30M 41S
33,57,29M 44S
34,57,29M 4S
34,58,28M 42S
34,59,28M 42S
35,59,28M 28S
36,59,28M 28S
39,59,27M 34S
39,60,27M 21S
39,61,27M 21S
40,61,26M 57S
40,64,26M 18S
40,66,25M 50S
42,66,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,66,23M 25S
46,66,22M 30S
46,69,22M 14S
46,71,21M 45S
46,74,21M 26S
46,75,20M 50S
46,76,20M 50S
48,76,20M 37S
48,79,20M 2S
50,79,19M 34S
50,81,19M 0S
50,82,19M 0S
50,84,18M 17S
50,86,17M 48S
52,86,17M 36S
52,88,17M 22S
54,88,16M 19S
56,88,16M 0S
56,90,15M 50S
56,92,15M 4S
59,92,14M 51S
61,92,14M 20S
61,94,14M 8S
61,97,12M 42S
63,97,12M 29S
63,99,12M 7S
63,100,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,100,11M 46S
65,102,11M 21S
66,102,10M 54S
66,104,10M 40S
69,104,10M 10S
69,107,9M 15S
71,107,8M 58S
71,109,8M 21S
71,112,8M 2S
73,112,7M 46S
75,112,6M 47S
75,115,6M 29S
77,115,6M 17S
80,115,4M 53S
80,118,3M 48S
82,118,3M 35S
83,118,3M 11S
84,118,3M 11S
86,118,2M 47S
86,121,2M 34S
89,121,2M 13S
91,121,1M 48S
91,124,1M 38S
93,124,1M 25S
94,124,27S
94,126,4S
End of 4th quarter,NA,0S
