Denver,LA Clippers,time_rem
30-18,32-18,48M 0S
0,0,47M 48S
2,0,47M 26S
5,0,46M 44S
5,2,46M 22S
5,4,45M 50S
7,4,45M 15S
7,6,45M 2S
10,6,44M 36S
12,6,43M 22S
12,9,43M 2S
15,9,42M 43S
17,9,42M 26S
18,9,42M 26S
20,9,41M 49S
20,12,41M 29S
22,12,40M 47S
25,12,40M 16S
25,14,39M 53S
25,16,38M 52S
27,16,38M 38S
27,18,37M 54S
29,18,37M 14S
31,18,36M 49S
31,20,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,22,35M 28S
31,24,34M 48S
34,24,33M 57S
34,25,33M 42S
34,26,33M 42S
36,26,33M 26S
36,27,33M 9S
36,28,33M 9S
39,28,32M 52S
39,29,32M 35S
42,29,32M 10S
42,31,31M 48S
44,31,31M 25S
45,31,31M 25S
45,32,30M 39S
45,33,30M 39S
46,33,30M 26S
46,34,30M 12S
46,35,30M 12S
48,35,29M 50S
49,35,29M 50S
51,35,29M 20S
51,38,28M 54S
53,38,28M 30S
53,41,28M 3S
54,41,27M 47S
55,41,27M 47S
57,41,27M 10S
57,44,26M 47S
58,44,26M 35S
59,44,26M 35S
59,46,25M 51S
61,46,24M 30S
62,46,24M 30S
62,49,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,49,23M 40S
67,49,21M 32S
67,51,21M 15S
67,53,20M 30S
67,55,20M 6S
69,55,19M 52S
71,55,19M 19S
71,56,19M 2S
71,57,19M 2S
71,59,17M 59S
71,61,17M 37S
73,61,17M 19S
73,63,17M 8S
76,63,16M 56S
76,66,16M 39S
76,69,16M 11S
79,69,15M 6S
81,69,13M 43S
81,70,13M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,71,11M 0S
81,72,11M 0S
84,72,10M 14S
84,74,9M 59S
84,76,8M 52S
84,79,8M 6S
84,81,7M 42S
84,83,6M 53S
86,83,5M 57S
89,83,5M 20S
89,86,4M 40S
91,86,4M 7S
91,88,3M 44S
93,88,2M 48S
96,88,2M 5S
98,88,1M 32S
98,90,1M 25S
100,90,1M 2S
100,92,33S
101,92,25S
101,94,6S
End of 4th quarter,NA,0S
