Denver,Charlotte,time_rem
45-24,33-36,48M 0S
0,0,47M 47S
1,0,47M 47S
2,0,47M 47S
2,3,47M 21S
2,5,46M 41S
4,5,46M 8S
6,5,45M 43S
8,5,44M 58S
10,5,44M 37S
10,7,44M 19S
10,9,43M 55S
12,9,43M 36S
14,9,43M 16S
17,9,42M 51S
19,9,42M 15S
19,10,42M 7S
19,11,42M 7S
22,11,41M 49S
22,13,41M 38S
24,13,41M 11S
27,13,41M 1S
30,13,40M 33S
33,13,39M 34S
33,15,39M 17S
36,15,38M 35S
36,18,38M 24S
38,18,37M 58S
38,20,37M 38S
38,22,36M 55S
38,24,36M 29S
38,25,36M 1S
38,26,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,28,35M 49S
40,28,35M 31S
40,31,34M 53S
42,31,34M 11S
42,33,33M 48S
42,35,33M 20S
44,35,33M 4S
44,37,32M 58S
44,38,32M 58S
46,38,31M 55S
46,40,31M 19S
49,40,31M 1S
49,42,30M 44S
49,44,30M 20S
49,47,29M 22S
51,47,28M 55S
51,49,28M 17S
52,49,28M 1S
52,51,27M 47S
54,51,27M 29S
57,51,27M 7S
58,51,26M 33S
59,51,26M 33S
59,53,25M 44S
60,53,25M 31S
61,53,25M 31S
61,55,25M 12S
61,57,24M 50S
61,58,24M 10S
61,59,24M 10S
61,60,24M 10S
63,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,61,23M 45S
64,61,23M 29S
65,61,23M 29S
67,61,22M 26S
67,63,21M 35S
70,63,21M 21S
71,63,21M 7S
72,63,21M 7S
73,63,20M 49S
73,66,20M 31S
75,66,20M 18S
75,67,20M 14S
75,68,20M 14S
75,70,19M 10S
77,70,18M 51S
77,71,18M 20S
77,72,18M 20S
77,74,17M 54S
77,76,17M 30S
79,76,17M 14S
79,78,16M 56S
81,78,16M 12S
84,78,15M 48S
84,80,15M 21S
85,80,15M 5S
86,80,14M 41S
87,80,14M 41S
87,82,14M 10S
87,84,13M 39S
89,84,13M 21S
89,86,13M 6S
91,86,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: P. Washington vs. P. Millsap (J. McDaniels gains possession),NA,11M 24S
92,86,10M 52S
93,86,10M 52S
96,86,10M 24S
96,87,9M 42S
97,87,9M 6S
98,87,9M 6S
100,87,8M 28S
100,90,7M 14S
103,90,6M 54S
103,92,6M 11S
105,92,5M 24S
105,95,5M 9S
105,98,4M 38S
105,100,4M 11S
107,100,3M 24S
107,103,2M 59S
107,106,2M 31S
109,106,1M 57S
109,107,1M 41S
112,107,1M 30S
112,108,1M 10S
112,109,1M 10S
114,109,46S
115,109,23S
116,109,23S
Jump ball: P. Washington vs. S. Harrison (L. Ball gains possession),NA,16S
116,112,6S
117,112,3S
End of 4th quarter,NA,0S
