Chicago,Memphis,time_rem
22-31,27-25,48M 0S
0,0,47M 41S
3,0,47M 21S
3,2,47M 8S
3,4,46M 26S
3,6,46M 3S
5,6,45M 36S
5,8,45M 22S
7,8,44M 48S
7,10,44M 27S
9,10,43M 52S
11,10,41M 59S
11,13,41M 35S
11,14,41M 14S
11,15,41M 14S
11,16,41M 14S
11,18,40M 44S
Jump ball: D. Bane vs. T. Satoranský (B. Clarke gains possession),NA,39M 50S
11,19,38M 55S
11,20,38M 55S
13,20,38M 31S
15,20,38M 3S
15,22,37M 50S
18,22,37M 33S
20,22,36M 59S
21,22,36M 34S
22,22,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,22,35M 46S
24,25,35M 25S
27,25,35M 1S
29,25,34M 40S
31,25,33M 51S
33,25,33M 17S
33,27,33M 1S
35,27,31M 52S
35,30,31M 37S
36,30,30M 52S
37,30,30M 52S
37,32,30M 39S
39,32,29M 11S
41,32,28M 49S
41,34,28M 36S
41,36,28M 11S
41,38,27M 5S
41,41,25M 59S
41,44,25M 36S
43,44,25M 18S
43,46,24M 53S
45,46,24M 42S
46,46,24M 13S
47,46,24M 13S
47,48,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,49,23M 31S
47,51,23M 8S
49,51,22M 47S
51,51,22M 13S
51,53,21M 7S
53,53,20M 55S
54,53,20M 55S
57,53,20M 33S
57,55,19M 52S
59,55,19M 43S
59,57,19M 27S
61,57,18M 54S
64,57,18M 27S
64,59,17M 43S
66,59,17M 29S
66,62,17M 18S
66,64,16M 45S
68,64,16M 31S
70,64,16M 6S
72,64,15M 0S
72,66,14M 41S
72,68,14M 2S
73,68,13M 22S
74,68,13M 22S
74,70,12M 38S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,71,11M 51S
74,73,10M 26S
74,75,9M 49S
74,76,9M 47S
76,76,9M 28S
76,79,9M 2S
78,79,8M 44S
80,79,8M 17S
81,79,8M 17S
81,81,8M 5S
83,81,7M 5S
83,83,6M 50S
83,85,5M 29S
85,85,4M 50S
85,88,4M 39S
85,89,4M 23S
85,90,4M 23S
85,92,3M 56S
87,92,3M 39S
87,93,3M 19S
87,94,3M 19S
88,94,2M 40S
89,94,2M 40S
89,96,2M 28S
89,99,2M 6S
89,101,1M 39S
90,101,1M 33S
End of 4th quarter,NA,0S
