Brooklyn,Boston,time_rem
2-1,1-2,48M 0S
0,0,47M 43S
0,2,47M 28S
2,2,47M 17S
3,2,47M 17S
6,2,46M 58S
9,2,46M 26S
11,2,45M 49S
11,4,45M 42S
12,4,45M 29S
13,4,45M 29S
16,4,45M 3S
19,4,44M 36S
19,6,43M 58S
19,8,43M 26S
19,10,43M 1S
19,12,42M 39S
22,12,42M 24S
22,13,42M 6S
22,14,42M 6S
24,14,41M 54S
24,16,41M 43S
24,17,41M 43S
26,17,41M 30S
28,17,39M 39S
28,20,39M 17S
30,20,38M 42S
30,23,38M 27S
32,23,37M 42S
32,25,37M 18S
32,27,36M 56S
32,30,36M 39S
32,33,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,34,35M 40S
32,35,35M 40S
34,35,35M 22S
34,37,34M 39S
34,40,33M 58S
37,40,33M 33S
37,43,33M 10S
39,43,32M 42S
39,45,32M 21S
39,47,31M 43S
41,47,31M 29S
43,47,30M 47S
45,47,29M 41S
45,50,28M 54S
47,50,28M 39S
47,52,28M 27S
47,55,27M 34S
49,55,27M 15S
49,57,27M 4S
49,59,26M 27S
51,59,26M 8S
52,59,25M 47S
53,59,25M 47S
53,61,25M 30S
55,61,25M 12S
56,61,24M 9S
57,61,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,64,23M 42S
57,66,23M 23S
57,67,22M 45S
60,67,22M 25S
60,68,21M 44S
60,69,21M 44S
62,69,21M 30S
62,70,21M 15S
64,70,20M 41S
64,72,19M 57S
66,72,19M 44S
67,72,19M 18S
68,72,19M 18S
71,72,18M 41S
73,72,18M 5S
73,75,17M 39S
74,75,17M 23S
75,75,17M 23S
75,78,17M 11S
75,79,17M 11S
75,80,16M 46S
75,81,16M 46S
77,81,16M 5S
77,84,15M 47S
77,85,14M 49S
77,88,14M 47S
77,90,14M 14S
77,91,14M 14S
78,91,14M 0S
79,91,14M 0S
79,94,13M 37S
79,96,12M 58S
82,96,12M 45S
84,96,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,96,11M 40S
87,99,11M 18S
87,101,10M 34S
87,103,9M 25S
90,103,9M 15S
91,103,9M 15S
91,105,9M 1S
94,105,8M 43S
97,105,7M 36S
97,107,6M 34S
100,107,6M 10S
100,108,5M 50S
100,109,5M 50S
101,109,5M 37S
102,109,5M 37S
102,111,5M 23S
103,111,5M 9S
104,111,5M 9S
105,111,4M 43S
105,114,4M 26S
105,116,3M 36S
106,116,3M 28S
106,118,3M 3S
109,118,2M 53S
110,118,2M 33S
111,118,2M 33S
111,119,2M 18S
111,120,2M 18S
112,120,2M 11S
113,120,2M 11S
114,120,58S
115,120,58S
115,122,41S
116,122,40S
116,123,25S
119,123,21S
119,125,13S
End of 4th quarter,NA,0S
