Golden State,New Orleans,time_rem
33-33,30-36,48M 0S
0,0,47M 42S
0,1,47M 29S
0,2,47M 29S
3,2,47M 11S
3,4,46M 35S
5,4,46M 16S
5,6,46M 5S
7,6,45M 51S
10,6,45M 5S
10,7,44M 38S
10,10,44M 1S
12,10,43M 36S
15,10,43M 5S
15,13,42M 39S
15,16,42M 14S
15,19,41M 21S
18,19,40M 41S
18,21,40M 28S
18,23,40M 14S
21,23,40M 2S
23,23,39M 12S
24,23,39M 12S
27,23,38M 51S
27,25,38M 29S
27,28,38M 7S
28,28,37M 36S
29,28,37M 36S
29,29,36M 58S
29,30,36M 58S
31,30,36M 37S
34,30,36M 5S
34,31,36M 1S
34,32,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,32,35M 28S
36,34,34M 20S
38,34,33M 24S
38,35,33M 4S
39,35,32M 44S
39,37,32M 13S
39,39,31M 39S
42,39,31M 28S
44,39,31M 6S
45,39,31M 6S
45,41,30M 24S
45,43,29M 57S
47,43,29M 34S
50,43,29M 6S
50,45,28M 48S
50,47,28M 15S
50,50,27M 27S
50,52,26M 24S
52,52,26M 14S
55,52,24M 41S
55,54,24M 27S
57,54,24M 5S
57,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,56,23M 14S
60,58,22M 49S
62,58,22M 36S
62,61,22M 22S
65,61,21M 0S
65,63,19M 53S
68,63,19M 35S
70,63,19M 5S
72,63,18M 45S
72,66,18M 30S
74,66,18M 17S
74,67,18M 7S
74,68,18M 7S
74,71,16M 40S
77,71,16M 27S
77,73,15M 25S
77,75,14M 46S
79,75,12M 57S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,77,11M 39S
79,79,11M 5S
82,79,10M 47S
85,79,10M 12S
85,80,9M 13S
85,81,9M 13S
87,81,8M 56S
90,81,8M 29S
90,83,8M 10S
90,86,6M 26S
92,86,6M 10S
92,88,5M 42S
92,90,4M 49S
92,92,4M 26S
95,92,3M 35S
95,95,3M 18S
98,95,3M 2S
98,98,2M 13S
98,100,1M 30S
100,100,49S
100,102,26S
100,103,15S
100,104,15S
100,105,14S
100,106,14S
100,107,9S
100,108,9S
103,108,5S
End of 4th quarter,NA,0S
