Atlanta,Milwaukee,time_rem
2-3,3-2,48M 0S
0,0,47M 41S
0,2,47M 31S
0,5,46M 51S
2,5,46M 39S
2,7,46M 25S
2,10,45M 55S
5,10,45M 36S
5,11,45M 22S
5,12,45M 22S
5,14,44M 43S
5,16,44M 19S
6,16,43M 50S
7,16,43M 50S
7,18,43M 25S
7,20,42M 47S
7,22,42M 10S
10,22,41M 50S
10,24,41M 28S
10,26,41M 0S
10,28,40M 34S
10,30,39M 18S
11,30,38M 58S
12,30,38M 58S
12,32,38M 46S
14,32,37M 51S
16,32,37M 28S
17,32,37M 28S
18,32,37M 2S
19,32,37M 2S
19,34,36M 47S
19,36,36M 32S
21,36,36M 18S
22,36,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,38,35M 41S
23,38,35M 25S
24,38,35M 25S
24,40,35M 10S
26,40,34M 47S
28,40,34M 0S
28,42,33M 28S
28,44,33M 3S
29,44,32M 48S
30,44,32M 48S
30,46,32M 11S
30,48,31M 46S
33,48,31M 1S
33,50,30M 41S
35,50,30M 19S
37,50,29M 52S
37,52,29M 32S
39,52,29M 21S
39,54,28M 28S
41,54,28M 9S
43,54,27M 46S
43,55,27M 16S
46,55,26M 58S
46,57,26M 37S
49,57,25M 53S
49,59,25M 26S
51,59,25M 10S
51,62,24M 58S
51,65,24M 34S
53,65,24M 12S
56,65,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,65,23M 26S
59,68,23M 8S
61,68,22M 43S
61,70,21M 53S
61,72,20M 47S
61,73,20M 47S
63,73,20M 31S
63,75,19M 41S
63,77,19M 7S
65,77,18M 56S
65,79,18M 46S
67,79,18M 26S
69,79,17M 59S
69,80,17M 40S
69,81,17M 40S
69,82,17M 34S
69,84,16M 30S
71,84,16M 12S
73,84,15M 48S
73,85,15M 14S
73,86,15M 14S
73,87,14M 15S
76,87,14M 3S
78,87,13M 24S
78,89,13M 3S
78,91,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,93,11M 23S
78,96,10M 50S
81,96,10M 40S
81,99,10M 20S
82,99,10M 0S
83,99,10M 0S
83,101,9M 45S
86,101,9M 23S
86,102,8M 44S
86,103,8M 44S
89,103,8M 12S
89,105,7M 54S
89,106,7M 54S
92,106,7M 27S
92,109,7M 6S
94,109,6M 40S
94,111,5M 17S
96,111,4M 58S
98,111,3M 46S
98,114,3M 21S
101,114,2M 34S
102,114,2M 34S
102,116,2M 11S
105,116,1M 52S
105,118,1M 40S
108,118,1M 29S
108,119,1M 21S
108,120,1M 21S
110,120,1M 10S
110,121,1M 3S
110,122,52S
110,123,52S
112,123,24S
End of 4th quarter,NA,0S
