Orlando,Miami,time_rem
13-24,19-18,48M 0S
2,0,47M 46S
2,3,46M 30S
4,3,45M 48S
4,4,45M 41S
4,5,45M 41S
6,5,45M 28S
7,5,45M 28S
7,8,44M 19S
9,8,44M 3S
9,11,43M 57S
10,11,43M 38S
11,11,43M 38S
11,13,43M 22S
11,15,42M 58S
13,15,42M 32S
15,15,41M 56S
16,15,41M 37S
17,15,41M 37S
18,15,41M 37S
18,17,41M 3S
18,19,40M 39S
18,22,40M 11S
18,25,39M 22S
21,25,38M 34S
21,27,38M 23S
23,27,37M 54S
23,30,37M 42S
26,30,37M 20S
27,30,36M 58S
30,30,36M 37S
32,30,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,30,34M 45S
34,32,34M 22S
34,34,34M 1S
36,34,32M 50S
36,37,32M 43S
39,37,32M 27S
39,40,31M 29S
42,40,30M 30S
42,42,30M 1S
43,42,29M 47S
44,42,29M 47S
44,45,29M 27S
47,45,28M 36S
47,47,28M 18S
49,47,28M 4S
49,50,27M 46S
51,50,27M 30S
51,52,27M 6S
51,55,26M 26S
52,55,26M 7S
52,57,25M 53S
54,57,25M 39S
54,58,25M 32S
56,58,25M 21S
56,60,25M 9S
58,60,24M 20S
58,62,24M 2S
58,63,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,63,23M 4S
60,64,22M 25S
62,64,21M 37S
62,66,21M 26S
62,68,21M 2S
64,68,20M 1S
66,68,19M 31S
66,71,19M 14S
68,71,18M 55S
71,71,18M 29S
74,71,18M 5S
74,73,17M 26S
74,75,17M 1S
74,77,16M 43S
77,77,16M 2S
77,79,15M 11S
79,79,14M 29S
80,79,14M 29S
82,79,13M 4S
82,82,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,82,10M 24S
84,84,10M 5S
86,84,9M 38S
86,86,9M 15S
86,87,9M 15S
86,90,8M 40S
89,90,7M 11S
89,93,6M 47S
92,93,6M 1S
92,95,5M 48S
93,95,5M 40S
94,95,5M 40S
94,97,5M 27S
94,99,5M 4S
94,100,3M 38S
94,101,3M 38S
94,102,2M 34S
94,103,2M 34S
96,103,2M 18S
96,105,2M 4S
98,105,1M 54S
98,108,57S
100,108,46S
100,109,43S
100,110,43S
103,110,34S
103,111,30S
End of 4th quarter,NA,0S
