Atlanta,Milwaukee,time_rem
1-0,0-1,48M 0S
0,3,47M 39S
2,3,47M 21S
4,3,46M 54S
4,5,46M 34S
4,7,45M 9S
6,7,44M 47S
6,9,44M 35S
8,9,44M 20S
8,11,43M 38S
10,11,43M 0S
10,13,42M 41S
12,13,42M 22S
14,13,42M 3S
14,15,41M 35S
16,15,40M 19S
18,15,39M 48S
18,17,39M 33S
18,19,38M 12S
20,19,37M 54S
20,21,37M 38S
20,23,37M 12S
20,26,36M 35S
22,26,36M 27S
22,28,36M 12S
25,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,30,35M 31S
25,32,35M 6S
25,34,34M 39S
26,34,34M 17S
27,34,34M 17S
29,34,33M 47S
29,36,33M 35S
29,38,33M 14S
31,38,32M 17S
31,40,31M 55S
33,40,31M 44S
36,40,31M 3S
36,42,30M 46S
39,42,30M 29S
39,43,30M 18S
41,43,30M 6S
41,45,29M 49S
43,45,28M 54S
46,45,28M 12S
46,47,27M 55S
46,49,26M 49S
47,49,26M 40S
47,52,26M 15S
49,52,25M 39S
49,55,25M 25S
51,55,25M 9S
54,55,24M 39S
54,57,24M 32S
54,59,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,59,23M 48S
56,61,23M 34S
56,62,23M 5S
56,63,23M 5S
58,63,22M 49S
58,64,22M 20S
58,65,22M 20S
60,65,22M 8S
63,65,21M 44S
65,65,21M 18S
65,67,20M 18S
67,67,19M 50S
67,69,19M 13S
69,69,18M 50S
69,70,18M 26S
69,71,18M 26S
71,71,18M 1S
72,71,17M 18S
73,71,17M 18S
75,71,16M 48S
75,73,16M 43S
77,73,16M 21S
79,73,16M 1S
79,75,15M 40S
81,75,15M 29S
83,75,15M 1S
83,78,14M 45S
86,78,14M 26S
86,80,13M 51S
86,83,13M 21S
88,83,13M 6S
88,85,12M 56S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,85,10M 44S
90,87,10M 31S
92,87,10M 7S
92,90,9M 27S
92,92,7M 51S
94,92,7M 39S
96,92,6M 43S
96,94,6M 27S
96,96,5M 54S
97,96,5M 34S
98,96,5M 34S
98,98,5M 25S
98,100,4M 51S
98,102,4M 31S
98,105,4M 18S
100,105,3M 42S
102,105,3M 26S
103,105,3M 26S
103,107,3M 14S
105,107,2M 57S
105,108,2M 36S
105,109,2M 36S
106,109,2M 21S
107,109,2M 21S
107,111,2M 8S
110,111,1M 39S
112,111,29S
113,111,17S
114,111,17S
114,112,5S
114,113,5S
115,113,4S
116,113,4S
End of 4th quarter,NA,0S
