Phoenix,Milwaukee,time_rem
2-4,4-2,48M 0S
0,0,47M 40S
0,2,47M 6S
2,2,46M 48S
2,4,44M 43S
2,5,44M 16S
2,6,44M 16S
5,6,42M 51S
5,8,42M 33S
5,10,42M 15S
7,10,41M 48S
7,12,41M 30S
7,15,41M 14S
9,15,40M 40S
11,15,40M 19S
11,18,39M 10S
14,18,38M 26S
14,21,38M 7S
14,23,37M 42S
14,25,37M 13S
16,25,37M 1S
16,26,36M 45S
16,27,36M 45S
16,29,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,29,34M 54S
21,29,34M 25S
24,29,33M 12S
25,29,32M 47S
26,29,32M 47S
26,31,32M 25S
26,32,31M 32S
26,33,31M 32S
28,33,31M 19S
30,33,30M 43S
31,33,30M 21S
33,33,29M 34S
34,33,28M 51S
35,33,28M 51S
35,34,28M 18S
37,34,28M 4S
38,34,27M 52S
39,34,27M 52S
39,36,27M 40S
41,36,26M 42S
41,38,26M 20S
43,38,26M 6S
43,40,25M 46S
45,40,25M 23S
47,40,24M 22S
47,41,24M 3S
47,42,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,42,23M 42S
49,44,23M 31S
49,45,23M 31S
49,48,22M 49S
51,48,22M 39S
53,48,21M 55S
53,50,21M 27S
55,50,21M 14S
55,51,20M 47S
55,52,20M 47S
55,54,20M 23S
55,55,20M 8S
55,56,20M 8S
55,58,19M 30S
58,58,19M 15S
59,58,19M 15S
59,60,18M 50S
61,60,18M 35S
61,62,18M 17S
61,64,17M 46S
61,66,16M 46S
63,66,16M 24S
63,67,16M 9S
63,68,16M 9S
66,68,15M 49S
66,71,15M 17S
68,71,15M 13S
69,71,15M 13S
69,73,15M 0S
71,73,14M 45S
71,75,14M 36S
71,76,13M 55S
71,77,13M 55S
73,77,13M 30S
75,77,12M 44S
76,77,12M 5S
77,77,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,79,11M 21S
79,79,11M 1S
79,82,10M 23S
81,82,10M 14S
82,82,10M 14S
82,84,9M 57S
82,86,8M 41S
84,86,8M 19S
84,87,8M 3S
84,88,8M 3S
84,89,7M 37S
84,90,7M 37S
85,90,7M 21S
86,90,7M 21S
86,92,6M 58S
88,92,6M 34S
88,94,6M 15S
90,94,4M 53S
90,96,4M 35S
90,98,3M 37S
92,98,3M 8S
92,100,2M 43S
94,100,1M 50S
95,100,1M 14S
96,100,1M 14S
96,102,56S
96,103,44S
96,104,44S
98,104,11S
98,105,9S
End of 4th quarter,NA,0S
