Boston,Cleveland,time_rem
20-20,15-25,48M 0S
0,0,47M 43S
2,0,46M 2S
2,2,45M 40S
2,4,45M 12S
2,5,44M 34S
2,7,44M 13S
5,7,44M 0S
5,9,43M 49S
5,11,43M 24S
8,11,43M 8S
8,13,42M 33S
8,14,41M 13S
8,15,41M 13S
8,17,40M 39S
10,17,40M 15S
10,18,39M 39S
10,19,39M 39S
12,19,39M 28S
12,20,39M 14S
12,21,39M 14S
14,21,38M 56S
16,21,37M 44S
16,24,37M 21S
18,24,37M 3S
18,26,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,26,35M 48S
20,29,35M 28S
22,29,35M 8S
22,31,34M 41S
22,33,33M 22S
22,35,32M 39S
25,35,32M 26S
Jump ball: J. Brown vs. D. Windler (J. Tatum gains possession),NA,32M 0S
25,37,31M 46S
25,40,31M 14S
26,40,30M 59S
27,40,30M 29S
28,40,30M 29S
30,40,29M 56S
31,40,29M 19S
32,40,29M 19S
32,43,28M 58S
32,46,28M 24S
32,48,27M 20S
32,49,27M 3S
32,50,27M 3S
32,51,26M 21S
32,53,26M 2S
34,53,25M 11S
36,53,24M 38S
36,55,24M 18S
38,55,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
41,55,23M 43S
41,57,22M 52S
41,59,22M 25S
44,59,22M 13S
44,62,21M 46S
47,62,21M 31S
49,62,21M 1S
49,65,20M 38S
50,65,20M 26S
50,67,19M 55S
52,67,19M 37S
55,67,19M 4S
55,69,18M 17S
58,69,17M 24S
58,71,17M 9S
58,72,17M 9S
60,72,16M 54S
60,74,16M 37S
62,74,16M 17S
62,77,16M 2S
62,78,15M 26S
64,78,15M 9S
66,78,14M 40S
67,78,14M 21S
69,78,13M 23S
71,78,12M 48S
71,79,12M 34S
72,79,12M 24S
72,82,12M 3S
74,82,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,82,11M 29S
75,85,11M 13S
78,85,10M 59S
78,87,10M 37S
80,87,10M 24S
80,88,10M 12S
80,89,10M 12S
83,89,9M 59S
85,89,9M 30S
85,90,9M 18S
85,91,9M 18S
87,91,8M 39S
87,92,8M 13S
88,92,8M 0S
88,94,7M 38S
89,94,7M 9S
91,94,6M 41S
91,96,6M 15S
93,96,5M 21S
93,98,4M 55S
94,98,4M 19S
94,100,3M 56S
95,100,3M 36S
96,100,3M 36S
96,102,2M 33S
96,104,2M 16S
96,105,2M 16S
97,105,2M 10S
98,105,2M 10S
98,107,1M 55S
98,109,1M 29S
98,110,1M 29S
99,110,1M 22S
100,110,1M 22S
101,110,1M 22S
103,110,59S
105,110,54S
105,111,53S
105,112,53S
107,112,47S
107,113,44S
107,114,44S
109,114,36S
109,115,30S
110,115,18S
Jump ball: L. Nance vs. J. Brown (D. Garland gains possession),NA,7S
110,116,5S
110,117,5S
End of 4th quarter,NA,0S
