Orlando,Brooklyn,time_rem
13-20,22-12,48M 0S
0,2,47M 46S
1,2,47M 30S
1,3,45M 1S
3,3,44M 53S
3,5,43M 43S
5,5,43M 26S
6,5,43M 3S
7,5,43M 3S
9,5,42M 47S
12,5,42M 17S
12,7,41M 53S
15,7,41M 45S
15,9,41M 33S
17,9,41M 19S
19,9,40M 51S
19,12,40M 38S
21,12,40M 23S
21,14,40M 7S
21,17,39M 42S
23,17,39M 25S
24,17,39M 25S
27,17,38M 42S
27,18,37M 35S
28,18,37M 19S
28,19,37M 8S
28,20,37M 8S
28,21,36M 41S
28,22,36M 41S
28,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,24,35M 47S
31,26,34M 32S
31,29,34M 9S
31,32,33M 37S
33,32,33M 16S
36,32,32M 27S
36,35,32M 1S
36,37,31M 34S
36,39,31M 3S
38,39,30M 45S
38,42,30M 17S
38,44,29M 50S
40,44,29M 26S
40,46,29M 13S
43,46,28M 54S
43,48,28M 31S
43,51,27M 59S
43,52,27M 43S
43,53,27M 43S
43,55,26M 25S
45,55,26M 7S
45,58,25M 41S
45,60,25M 8S
45,63,24M 32S
45,65,24M 8S
47,65,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,67,23M 24S
47,70,23M 5S
47,72,22M 44S
49,72,22M 28S
49,75,22M 2S
51,75,21M 39S
52,75,21M 39S
54,75,21M 21S
54,78,20M 47S
57,78,19M 39S
60,78,18M 59S
62,78,18M 23S
62,80,18M 11S
64,80,17M 58S
64,83,17M 43S
64,85,17M 20S
64,87,16M 28S
66,87,15M 44S
67,87,15M 44S
69,87,15M 0S
69,89,14M 35S
69,90,14M 35S
69,92,14M 6S
70,92,14M 5S
72,92,13M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,95,11M 47S
72,98,11M 17S
72,100,10M 40S
74,100,10M 27S
74,102,10M 10S
75,102,9M 26S
75,104,9M 12S
75,105,8M 1S
75,106,8M 1S
77,106,7M 39S
77,108,7M 9S
77,110,5M 37S
79,110,5M 3S
79,113,4M 48S
81,113,4M 27S
81,116,4M 14S
82,116,3M 48S
83,116,3M 48S
83,118,3M 23S
83,121,3M 1S
85,121,2M 43S
85,124,2M 7S
86,124,1M 50S
87,124,1M 50S
89,124,1M 30S
89,127,1M 18S
89,129,51S
92,129,41S
End of 4th quarter,NA,0S
