Cleveland,Orlando,time_rem
4-4,6-2,48M 0S
0,0,47M 43S
0,2,47M 31S
0,3,47M 31S
1,3,47M 2S
2,3,47M 2S
4,3,46M 40S
6,3,45M 21S
7,3,45M 3S
9,3,44M 40S
11,3,44M 8S
11,5,43M 4S
11,6,43M 4S
13,6,42M 39S
13,7,42M 6S
14,7,41M 46S
15,7,41M 46S
17,7,41M 15S
19,7,40M 34S
19,9,39M 47S
19,11,38M 45S
19,13,38M 19S
21,13,37M 5S
21,15,36M 43S
22,15,36M 30S
23,15,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,17,35M 16S
23,19,34M 49S
26,19,34M 30S
28,19,34M 2S
28,22,33M 42S
28,24,32M 59S
28,25,32M 33S
28,26,32M 33S
29,26,32M 21S
30,26,32M 21S
30,29,32M 5S
30,32,31M 21S
30,34,30M 50S
32,34,30M 38S
32,36,30M 26S
34,36,29M 54S
34,38,29M 38S
36,38,29M 19S
36,40,28M 57S
38,40,28M 16S
38,42,28M 1S
38,43,27M 43S
38,45,27M 4S
41,45,26M 41S
41,47,25M 40S
43,47,25M 10S
43,49,24M 50S
43,51,24M 26S
45,51,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,51,23M 5S
47,54,22M 45S
50,54,21M 22S
50,57,20M 59S
50,59,20M 27S
52,59,20M 17S
52,60,20M 8S
52,61,20M 8S
52,64,19M 40S
54,64,19M 22S
54,66,18M 36S
54,69,18M 7S
56,69,17M 54S
58,69,17M 34S
58,71,17M 18S
60,71,15M 54S
60,74,15M 39S
60,75,15M 39S
60,77,15M 7S
62,77,14M 48S
64,77,14M 14S
64,80,12M 58S
64,83,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,83,11M 41S
69,83,11M 7S
69,84,10M 49S
69,85,10M 49S
69,88,10M 13S
69,90,8M 57S
70,90,8M 40S
71,90,8M 40S
71,92,8M 9S
73,92,7M 48S
73,94,7M 33S
75,94,6M 27S
76,94,6M 11S
76,96,5M 52S
76,99,5M 6S
78,99,4M 53S
80,99,3M 57S
81,99,3M 40S
82,99,3M 40S
82,101,3M 30S
84,101,2M 52S
85,101,2M 27S
86,101,2M 27S
86,102,2M 12S
86,103,2M 12S
88,103,1M 51S
90,103,1M 28S
90,105,1M 16S
91,105,48S
92,105,48S
94,105,9S
End of 4th quarter,NA,0S
