Milwaukee,Charlotte,time_rem
11-8,9-11,48M 0S
2,0,47M 41S
5,0,47M 10S
7,0,46M 41S
10,0,46M 13S
10,1,45M 46S
10,4,45M 35S
12,4,44M 56S
13,4,44M 38S
13,7,44M 27S
15,7,43M 49S
17,7,43M 26S
17,10,43M 4S
20,10,42M 44S
20,12,42M 24S
20,14,41M 56S
20,16,41M 37S
20,18,41M 16S
21,18,41M 3S
22,18,41M 3S
22,21,40M 50S
25,21,40M 28S
25,24,40M 15S
28,24,39M 7S
28,26,38M 56S
28,29,37M 54S
28,30,37M 21S
28,31,37M 21S
28,33,36M 44S
28,36,36M 21S
31,36,36M 5S
31,39,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,42,35M 47S
31,43,35M 32S
31,45,35M 17S
31,48,34M 42S
31,51,34M 18S
33,51,33M 27S
35,51,32M 39S
36,51,32M 39S
38,51,32M 11S
38,54,31M 39S
40,54,31M 11S
40,56,30M 48S
40,58,30M 17S
41,58,30M 3S
42,58,30M 3S
42,60,29M 49S
45,60,29M 38S
46,60,28M 50S
47,60,28M 50S
49,60,28M 20S
49,63,28M 4S
52,63,27M 44S
55,63,27M 12S
57,63,26M 39S
59,63,26M 4S
59,65,25M 45S
62,65,25M 26S
62,66,25M 8S
64,66,24M 50S
64,68,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,68,23M 31S
65,71,23M 7S
67,71,22M 28S
67,73,22M 10S
67,75,21M 43S
69,75,21M 2S
69,77,20M 50S
71,77,20M 25S
74,77,19M 34S
74,80,19M 11S
77,80,18M 53S
77,83,17M 59S
80,83,17M 10S
80,86,16M 56S
83,86,16M 42S
86,86,16M 12S
86,87,15M 34S
86,88,15M 34S
88,88,15M 23S
90,88,14M 51S
91,88,14M 3S
92,88,14M 3S
92,89,13M 49S
92,90,13M 49S
93,90,13M 39S
94,90,13M 39S
94,92,13M 24S
94,94,12M 32S
94,95,12M 32S
94,97,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,97,11M 45S
96,99,11M 18S
Jump ball: G. Antetokounmpo vs. P. Washington (B. Lopez gains possession),NA,11M 4S
98,99,10M 54S
98,101,10M 23S
101,101,10M 0S
101,104,9M 39S
104,104,9M 19S
104,107,8M 53S
106,107,8M 32S
106,108,7M 50S
108,108,7M 31S
109,108,6M 57S
110,108,6M 57S
110,110,6M 35S
111,110,6M 25S
111,111,6M 9S
111,112,6M 9S
111,113,5M 39S
111,114,5M 39S
111,116,5M 13S
114,116,3M 27S
114,118,2M 46S
114,119,2M 46S
114,122,2M 28S
114,125,1M 50S
114,126,1M 31S
End of 4th quarter,NA,0S
