Indiana,Cleveland,time_rem
32-36,21-48,48M 0S
0,0,47M 49S
0,1,47M 49S
0,2,47M 49S
3,2,47M 32S
5,2,47M 9S
7,2,46M 44S
9,2,46M 12S
9,4,45M 34S
11,4,45M 19S
11,5,45M 0S
11,6,45M 0S
13,6,44M 51S
16,6,44M 21S
16,8,44M 2S
18,8,43M 9S
18,10,42M 51S
18,12,42M 16S
20,12,41M 46S
20,15,41M 25S
20,18,40M 46S
20,21,40M 19S
22,21,40M 1S
22,23,39M 42S
24,23,38M 35S
24,25,38M 21S
24,27,37M 55S
25,27,37M 46S
25,28,36M 30S
27,28,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,30,35M 0S
27,31,35M 0S
29,31,34M 41S
29,33,33M 35S
31,33,33M 7S
34,33,32M 41S
34,36,32M 25S
34,37,32M 10S
34,38,32M 10S
34,41,31M 46S
34,44,30M 51S
36,44,30M 34S
36,46,30M 19S
38,46,29M 21S
40,46,28M 59S
42,46,28M 43S
43,46,28M 24S
45,46,27M 51S
46,46,27M 28S
47,46,27M 28S
47,48,27M 13S
47,49,26M 48S
47,50,26M 48S
49,50,26M 33S
49,52,26M 18S
50,52,26M 9S
51,52,26M 9S
51,53,25M 53S
51,54,25M 53S
51,56,25M 32S
53,56,25M 19S
53,58,24M 49S
53,60,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,60,23M 48S
57,60,23M 17S
57,62,22M 56S
57,63,22M 22S
60,63,20M 8S
62,63,19M 25S
62,64,19M 5S
62,65,19M 5S
62,66,18M 32S
64,66,18M 21S
66,66,17M 10S
66,68,16M 26S
68,68,16M 13S
68,71,15M 24S
68,73,15M 9S
68,74,15M 9S
71,74,14M 56S
74,74,14M 31S
76,74,12M 56S
76,77,12M 36S
79,77,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,79,11M 34S
81,79,11M 22S
84,79,10M 44S
84,80,10M 22S
84,83,9M 49S
86,83,9M 7S
89,83,8M 34S
89,86,8M 4S
91,86,7M 43S
91,89,6M 43S
91,91,6M 25S
93,91,6M 9S
93,92,5M 45S
94,92,4M 47S
95,92,4M 47S
97,92,4M 30S
100,92,4M 10S
100,95,3M 34S
103,95,3M 14S
105,95,1M 44S
105,96,1M 29S
105,97,1M 29S
105,100,59S
107,100,42S
107,101,33S
107,102,33S
108,102,24S
109,102,24S
110,102,12S
111,102,12S
End of 4th quarter,NA,0S
