LA Clippers,Dallas,time_rem
2-2,2-2,48M 0S
0,2,47M 45S
0,4,47M 11S
3,4,46M 4S
5,4,45M 30S
5,5,45M 17S
5,6,45M 17S
7,6,44M 57S
9,6,44M 37S
10,6,43M 40S
11,6,43M 40S
12,6,42M 47S
12,8,42M 40S
13,8,42M 25S
13,10,42M 8S
13,12,41M 27S
15,12,41M 18S
15,14,40M 56S
17,14,40M 35S
17,16,40M 19S
19,16,39M 58S
21,16,39M 46S
Jump ball: K. Porziņģis vs. I. Zubac (L. Dončić gains possession),NA,39M 18S
21,17,39M 6S
23,17,38M 52S
24,17,38M 14S
24,19,38M 1S
26,19,37M 40S
28,19,37M 17S
31,19,36M 51S
31,22,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,25,35M 1S
34,25,34M 6S
34,27,33M 56S
36,27,33M 44S
38,27,33M 13S
40,27,32M 52S
43,27,32M 11S
44,27,31M 44S
45,27,31M 44S
45,29,31M 34S
48,29,30M 58S
48,31,30M 47S
48,33,30M 15S
49,33,28M 38S
50,33,28M 38S
50,35,27M 50S
53,35,27M 27S
53,37,27M 15S
53,38,27M 15S
55,38,26M 33S
55,40,26M 16S
57,40,26M 0S
57,42,25M 24S
60,42,25M 8S
60,45,24M 36S
61,45,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,45,23M 21S
66,45,23M 4S
67,45,22M 4S
68,45,21M 10S
69,45,21M 10S
69,47,20M 45S
71,47,19M 29S
71,49,19M 5S
71,51,18M 21S
74,51,17M 53S
77,51,17M 10S
78,51,16M 42S
79,51,16M 42S
79,53,16M 22S
80,53,15M 8S
80,55,14M 48S
80,57,13M 23S
81,57,13M 9S
82,57,13M 9S
82,60,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,62,11M 35S
84,62,11M 19S
86,62,10M 27S
86,63,10M 12S
86,64,10M 12S
88,64,8M 48S
90,64,7M 12S
90,65,7M 0S
90,66,7M 0S
90,67,6M 49S
90,69,6M 45S
90,72,5M 36S
93,72,5M 15S
96,72,4M 16S
96,73,3M 59S
96,74,3M 59S
98,74,3M 3S
98,75,2M 40S
98,76,2M 40S
100,76,2M 20S
103,76,1M 23S
103,78,1M 15S
105,78,1M 6S
106,78,1M 6S
106,79,54S
106,81,26S
End of 4th quarter,NA,0S
