Atlanta,Boston,time_rem
12-17,15-14,48M 0S
0,0,47M 37S
0,2,47M 19S
0,4,46M 56S
3,4,46M 48S
5,4,46M 23S
5,6,45M 40S
7,6,45M 22S
7,8,44M 59S
7,10,44M 39S
7,11,44M 39S
9,11,43M 43S
9,13,43M 39S
10,13,43M 29S
11,13,43M 29S
11,16,43M 16S
11,18,42M 56S
13,18,42M 35S
13,20,41M 51S
13,23,40M 48S
14,23,40M 35S
15,23,40M 35S
15,25,40M 20S
15,27,39M 57S
15,30,39M 23S
18,30,39M 8S
18,31,38M 19S
20,31,37M 58S
21,31,36M 51S
22,31,36M 51S
22,32,36M 40S
22,33,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,33,35M 18S
25,33,32M 46S
26,33,32M 46S
26,35,32M 31S
28,35,32M 18S
28,38,32M 3S
28,40,31M 40S
30,40,30M 56S
30,42,30M 42S
32,42,30M 26S
34,42,30M 7S
34,44,29M 33S
34,47,29M 18S
34,49,28M 34S
34,51,26M 55S
37,51,26M 39S
37,53,26M 26S
37,56,26M 2S
37,59,25M 43S
37,61,25M 23S
37,62,25M 23S
38,62,25M 15S
39,62,25M 15S
41,62,24M 51S
41,65,24M 36S
41,66,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,66,23M 38S
43,66,23M 38S
43,68,23M 26S
45,68,23M 9S
45,70,22M 18S
47,70,22M 2S
49,70,21M 29S
51,70,21M 13S
51,72,21M 3S
51,74,19M 58S
53,74,19M 47S
55,74,19M 8S
55,76,18M 26S
55,79,17M 50S
57,79,17M 37S
58,79,17M 37S
58,82,17M 22S
60,82,16M 53S
60,84,16M 40S
60,87,16M 28S
62,87,15M 53S
64,87,15M 31S
64,89,15M 10S
65,89,14M 46S
66,89,14M 46S
66,91,14M 12S
69,91,14M 1S
69,93,13M 41S
69,96,13M 7S
71,96,12M 31S
71,98,12M 11S
73,98,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,98,11M 35S
76,98,11M 35S
79,98,11M 1S
80,98,10M 37S
81,98,10M 37S
84,98,10M 1S
84,100,9M 33S
85,100,9M 25S
85,103,8M 43S
87,103,8M 14S
90,103,7M 44S
90,105,6M 53S
90,106,6M 53S
91,106,6M 40S
92,106,6M 40S
92,108,5M 55S
94,108,5M 44S
96,108,5M 15S
99,108,4M 50S
99,110,4M 31S
99,112,3M 54S
102,112,3M 40S
102,114,3M 24S
103,114,3M 13S
104,114,3M 13S
104,117,2M 56S
106,117,2M 4S
106,119,1M 32S
109,119,1M 21S
109,121,43S
End of 4th quarter,NA,0S
