Toronto,Cleveland,time_rem
21-32,19-33,48M 0S
0,0,47M 46S
0,1,47M 46S
0,2,47M 46S
2,2,47M 24S
3,2,47M 1S
3,4,46M 46S
5,4,46M 33S
6,4,46M 13S
7,4,46M 13S
7,6,46M 2S
10,6,45M 50S
10,7,45M 37S
12,7,45M 21S
14,7,45M 2S
14,9,44M 32S
16,9,44M 16S
17,9,43M 56S
18,9,43M 56S
20,9,43M 23S
20,12,43M 12S
22,12,42M 54S
24,12,42M 38S
25,12,41M 52S
26,12,41M 52S
28,12,41M 22S
28,14,41M 9S
30,14,40M 49S
30,15,40M 15S
30,16,40M 15S
32,16,39M 53S
33,16,39M 53S
35,16,39M 10S
35,18,38M 51S
35,21,38M 17S
36,21,37M 40S
37,21,37M 40S
37,22,37M 25S
37,23,37M 25S
37,24,37M 25S
40,24,37M 6S
42,24,36M 42S
44,24,36M 29S
44,25,36M 11S
44,26,36M 11S
47,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
47,28,34M 56S
47,30,34M 20S
50,30,33M 56S
53,30,33M 23S
53,32,33M 8S
55,32,32M 53S
55,34,32M 36S
57,34,32M 19S
57,36,32M 5S
57,38,31M 24S
60,38,31M 15S
63,38,30M 44S
65,38,30M 10S
68,38,29M 40S
71,38,29M 3S
71,40,28M 45S
74,40,28M 36S
74,41,28M 18S
76,41,28M 4S
76,44,27M 56S
78,44,27M 41S
81,44,27M 0S
81,46,26M 36S
84,46,26M 22S
84,47,25M 58S
84,48,25M 58S
84,51,25M 26S
87,51,24M 11S
87,54,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
90,54,23M 15S
90,56,23M 6S
90,57,23M 6S
93,57,22M 48S
93,60,22M 35S
Jump ball: K. Love vs. G. Trent (I. Okoro gains possession),NA,21M 10S
93,62,20M 39S
95,62,20M 22S
95,65,20M 11S
95,68,19M 35S
95,70,18M 45S
95,73,17M 41S
95,75,16M 49S
98,75,16M 27S
98,76,16M 11S
98,77,16M 11S
100,77,15M 48S
100,79,14M 56S
100,80,13M 41S
100,81,13M 41S
100,83,13M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,85,11M 43S
102,85,11M 20S
104,85,11M 0S
104,86,10M 39S
104,87,10M 39S
104,89,10M 22S
106,89,10M 5S
106,92,9M 53S
106,94,9M 30S
109,94,8M 54S
110,94,8M 35S
112,94,8M 22S
112,96,8M 6S
114,96,7M 52S
116,96,6M 55S
118,96,6M 24S
118,99,6M 17S
120,99,6M 0S
120,102,5M 46S
122,102,5M 25S
122,104,5M 0S
124,104,4M 44S
124,107,4M 24S
126,107,4M 2S
128,107,3M 29S
129,107,3M 29S
129,110,3M 20S
131,110,2M 51S
131,111,2M 33S
131,112,2M 33S
131,115,1M 58S
133,115,1M 42S
135,115,44S
End of 4th quarter,NA,0S
