Denver,Orlando,time_rem
26-17,14-29,48M 0S
0,2,47M 40S
0,4,47M 2S
2,4,46M 4S
5,4,45M 37S
Jump ball: A. Aminu vs. W. Barton (N. Jokić gains possession),NA,44M 21S
7,4,43M 58S
9,4,43M 15S
9,6,42M 54S
11,6,42M 13S
11,8,41M 38S
13,8,41M 19S
15,8,40M 48S
15,10,40M 29S
17,10,40M 7S
17,13,39M 45S
19,13,39M 26S
22,13,38M 35S
24,13,37M 52S
26,13,37M 21S
26,14,36M 57S
26,15,36M 57S
28,15,36M 47S
30,15,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,15,35M 24S
32,17,35M 4S
34,17,34M 15S
36,17,33M 40S
38,17,33M 24S
38,19,32M 17S
40,19,32M 0S
40,22,31M 37S
40,25,31M 4S
43,25,30M 48S
43,28,30M 33S
45,28,29M 23S
45,30,29M 1S
47,30,28M 26S
47,31,28M 17S
49,31,28M 1S
51,31,27M 16S
51,34,27M 0S
53,34,26M 25S
53,37,26M 6S
54,37,25M 24S
56,37,24M 59S
58,37,24M 36S
58,39,24M 14S
61,39,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,39,23M 48S
63,41,23M 32S
63,43,22M 44S
63,44,22M 23S
63,45,22M 23S
63,47,21M 46S
63,49,21M 5S
65,49,20M 42S
65,51,19M 58S
65,53,19M 33S
65,54,19M 33S
66,54,19M 21S
67,54,19M 21S
67,56,19M 3S
67,59,18M 39S
69,59,17M 26S
69,62,17M 7S
72,62,16M 54S
72,64,16M 32S
74,64,16M 16S
74,66,15M 35S
76,66,13M 56S
78,66,13M 23S
78,67,12M 36S
80,67,12M 27S
80,69,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,71,11M 42S
80,73,11M 19S
80,75,10M 36S
83,75,10M 15S
85,75,9M 50S
85,76,9M 32S
86,76,8M 32S
87,76,8M 32S
87,79,8M 16S
87,81,7M 40S
89,81,7M 16S
89,84,7M 6S
90,84,6M 49S
91,84,6M 49S
92,84,6M 40S
92,86,6M 6S
94,86,4M 43S
96,86,4M 15S
96,88,4M 2S
96,89,4M 2S
97,89,3M 44S
98,89,3M 44S
98,92,3M 33S
101,92,3M 9S
104,92,2M 33S
105,92,2M 3S
106,92,2M 3S
106,94,1M 53S
108,94,1M 28S
110,94,53S
110,96,46S
110,97,46S
110,99,22S
End of 4th quarter,NA,0S
