Utah,LA Clippers,time_rem
24-5,21-9,48M 0S
0,0,47M 45S
3,0,47M 31S
3,2,45M 57S
3,4,44M 37S
3,7,44M 5S
5,7,43M 46S
8,7,42M 38S
9,7,42M 5S
9,10,41M 53S
12,10,41M 36S
12,12,41M 17S
12,14,40M 48S
12,17,40M 34S
14,17,40M 15S
17,17,39M 48S
17,19,39M 32S
17,21,39M 10S
17,23,38M 27S
20,23,37M 45S
21,23,37M 11S
22,23,37M 11S
22,25,36M 56S
24,25,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,25,35M 20S
28,25,34M 44S
30,25,33M 48S
30,26,33M 44S
30,27,33M 44S
32,27,33M 31S
32,29,32M 51S
34,29,32M 35S
34,31,31M 54S
34,33,31M 16S
34,34,30M 56S
34,35,30M 56S
34,37,30M 16S
34,38,29M 50S
36,38,28M 23S
36,40,28M 12S
38,40,27M 56S
40,40,27M 39S
40,42,27M 23S
42,42,27M 6S
42,45,26M 51S
42,48,26M 27S
44,48,26M 13S
44,50,25M 54S
46,50,25M 34S
46,51,25M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,51,23M 40S
49,51,23M 10S
49,53,22M 54S
49,55,22M 25S
50,55,22M 13S
51,55,22M 13S
53,55,21M 53S
54,55,21M 53S
54,57,21M 45S
54,58,21M 45S
57,58,21M 26S
57,59,20M 59S
59,59,20M 46S
60,59,20M 46S
60,61,20M 28S
60,63,19M 8S
62,63,18M 51S
64,63,17M 52S
64,65,17M 18S
64,67,16M 42S
66,67,16M 27S
68,67,16M 8S
71,67,15M 39S
71,69,15M 21S
73,69,13M 57S
73,72,13M 35S
75,72,13M 19S
76,72,13M 19S
76,75,13M 4S
79,75,12M 32S
81,75,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,76,11M 48S
81,77,11M 48S
84,77,11M 39S
87,77,11M 11S
89,77,10M 2S
90,77,10M 2S
90,79,9M 44S
90,81,9M 2S
90,82,8M 47S
91,82,8M 24S
92,82,8M 24S
95,82,8M 5S
97,82,7M 42S
100,82,6M 53S
100,85,6M 29S
102,85,6M 6S
103,85,5M 43S
104,85,5M 16S
105,85,5M 16S
107,85,4M 42S
107,87,4M 30S
109,87,2M 53S
109,90,2M 34S
110,90,2M 19S
111,90,2M 19S
111,92,2M 5S
111,94,1M 32S
114,94,1M 19S
114,96,36S
End of 4th quarter,NA,0S
