Orlando,Philadelphia,time_rem
21-51,49-23,48M 0S
0,0,47M 36S
2,0,46M 43S
3,0,46M 43S
3,3,46M 8S
3,5,45M 30S
3,8,44M 31S
3,10,43M 50S
Jump ball: C. Anthony vs. T. Maxey (M. Wagner gains possession),NA,43M 39S
3,13,43M 11S
5,13,42M 52S
6,13,42M 52S
6,15,42M 37S
9,15,42M 27S
9,18,42M 6S
11,18,41M 42S
11,21,41M 26S
13,21,40M 27S
13,24,40M 11S
16,24,39M 47S
16,27,39M 25S
18,27,38M 31S
21,27,38M 7S
21,29,37M 52S
21,30,37M 52S
23,30,37M 32S
23,32,37M 16S
26,32,37M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,32,35M 25S
28,32,35M 25S
28,35,35M 11S
28,37,34M 44S
29,37,34M 25S
30,37,34M 25S
33,37,34M 5S
35,37,33M 47S
37,37,33M 19S
38,37,32M 51S
41,37,32M 4S
42,37,31M 38S
43,37,31M 38S
43,39,31M 8S
44,39,30M 51S
45,39,30M 51S
47,39,30M 31S
47,41,30M 2S
47,44,29M 41S
49,44,29M 20S
50,44,28M 57S
51,44,28M 57S
51,45,28M 46S
53,45,28M 9S
53,48,27M 51S
55,48,26M 50S
55,51,26M 35S
55,52,26M 35S
56,52,26M 17S
57,52,26M 17S
57,54,26M 5S
58,54,25M 56S
59,54,25M 56S
61,54,25M 28S
61,56,25M 15S
63,56,25M 0S
63,58,24M 43S
65,58,24M 34S
65,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,62,23M 53S
65,64,23M 31S
66,64,23M 10S
66,67,23M 0S
68,67,22M 48S
68,69,22M 33S
70,69,22M 16S
71,69,21M 22S
71,71,21M 8S
72,71,20M 47S
73,71,20M 47S
75,71,20M 19S
77,71,19M 38S
77,74,19M 15S
77,75,18M 31S
77,76,18M 31S
80,76,18M 16S
80,78,17M 54S
80,80,17M 33S
80,82,17M 0S
81,82,16M 49S
82,82,16M 49S
83,82,16M 49S
83,84,16M 41S
83,85,16M 7S
83,88,15M 34S
85,88,14M 52S
85,89,14M 37S
86,89,14M 29S
87,89,14M 29S
87,91,13M 59S
88,91,13M 45S
88,93,13M 22S
90,93,12M 34S
90,96,12M 23S
90,99,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,100,11M 29S
90,101,11M 29S
92,101,11M 15S
92,104,9M 26S
92,105,8M 36S
92,106,8M 36S
92,108,7M 54S
94,108,7M 38S
95,108,7M 12S
96,108,7M 12S
98,108,6M 42S
98,110,6M 26S
101,110,5M 48S
101,112,5M 35S
102,112,5M 22S
103,112,5M 22S
103,114,4M 52S
106,114,4M 16S
106,117,4M 0S
106,118,4M 0S
106,121,3M 52S
108,121,3M 15S
110,121,2M 44S
110,122,1M 59S
110,123,1M 59S
110,124,1M 59S
111,124,1M 50S
112,124,1M 50S
113,124,1M 0S
114,124,1M 0S
114,125,49S
114,126,49S
117,126,41S
117,128,24S
End of 4th quarter,NA,0S
