Phoenix,San Antonio,time_rem
50-21,33-38,48M 0S
0,0,47M 53S
2,0,47M 16S
5,0,46M 27S
5,2,46M 6S
7,2,45M 49S
10,2,45M 28S
10,5,45M 13S
12,5,44M 56S
15,5,44M 5S
16,5,43M 38S
17,5,43M 38S
17,7,42M 57S
19,7,42M 34S
22,7,42M 7S
22,9,41M 20S
23,9,40M 59S
24,9,40M 59S
26,9,39M 57S
26,11,39M 33S
28,11,38M 53S
28,13,38M 38S
30,13,37M 59S
32,13,37M 30S
32,15,37M 11S
34,15,36M 46S
34,17,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,18,35M 23S
34,19,35M 23S
36,19,35M 11S
36,21,34M 20S
36,22,34M 20S
39,22,33M 37S
39,24,33M 19S
41,24,33M 8S
41,26,32M 46S
44,26,32M 35S
44,27,32M 2S
44,28,32M 2S
46,28,31M 45S
49,28,31M 28S
49,29,31M 13S
49,31,30M 38S
49,32,30M 38S
49,35,30M 22S
49,36,29M 31S
49,37,29M 31S
49,39,29M 3S
52,39,28M 43S
55,39,28M 10S
55,40,27M 51S
55,41,27M 51S
57,41,26M 42S
57,43,26M 20S
59,43,26M 12S
60,43,25M 54S
61,43,25M 54S
63,43,25M 24S
63,45,25M 3S
66,45,24M 46S
66,46,24M 36S
66,47,24M 36S
67,47,24M 3S
68,47,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,47,23M 41S
72,47,23M 16S
73,47,23M 16S
75,47,22M 39S
77,47,22M 13S
79,47,21M 47S
79,50,21M 9S
81,50,20M 43S
81,52,20M 28S
82,52,20M 11S
83,52,20M 11S
83,54,19M 57S
83,55,19M 41S
83,56,19M 41S
85,56,19M 33S
86,56,19M 33S
86,58,19M 16S
87,58,19M 4S
88,58,19M 4S
88,60,18M 52S
89,60,18M 16S
90,60,18M 16S
92,60,17M 46S
94,60,17M 6S
94,61,16M 52S
94,63,16M 33S
94,65,15M 53S
96,65,15M 17S
96,67,15M 3S
98,67,14M 35S
100,67,14M 23S
102,67,13M 58S
104,67,13M 16S
104,69,12M 49S
106,69,12M 34S
106,70,12M 30S
109,70,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
111,70,11M 39S
111,72,11M 22S
112,72,11M 12S
113,72,11M 12S
114,72,11M 12S
114,74,10M 51S
116,74,10M 34S
116,76,9M 5S
116,77,9M 5S
119,77,8M 52S
119,79,8M 31S
119,81,8M 15S
122,81,7M 58S
122,83,7M 31S
124,83,7M 18S
124,85,6M 38S
125,85,6M 21S
125,87,6M 11S
125,89,5M 55S
127,89,4M 27S
128,89,4M 27S
128,90,4M 14S
128,91,4M 14S
130,91,4M 5S
132,91,3M 14S
132,93,2M 48S
132,95,2M 24S
132,96,2M 24S
135,96,2M 8S
135,98,1M 22S
137,98,1M 15S
137,100,38S
140,100,25S
140,103,19S
End of 4th quarter,NA,0S
