Golden State,Atlanta,time_rem
23-27,26-24,48M 0S
0,0,47M 45S
2,0,47M 30S
4,0,47M 4S
4,2,46M 43S
6,2,46M 20S
6,3,45M 49S
6,5,45M 17S
8,5,45M 8S
8,7,44M 56S
8,8,44M 56S
8,10,44M 29S
10,10,43M 55S
10,13,43M 37S
12,13,42M 26S
14,13,41M 59S
14,15,41M 38S
16,15,41M 14S
18,15,38M 32S
18,18,38M 20S
20,18,38M 6S
21,18,38M 6S
21,21,37M 3S
21,24,36M 34S
24,24,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,26,35M 5S
24,28,34M 29S
24,30,34M 2S
24,31,34M 2S
26,31,33M 45S
28,31,33M 24S
28,33,32M 57S
30,33,32M 36S
30,34,31M 41S
30,35,31M 41S
30,38,30M 46S
32,38,30M 29S
35,38,30M 9S
35,39,29M 51S
35,40,29M 51S
37,40,29M 41S
40,40,29M 20S
40,42,29M 4S
40,44,28M 56S
42,44,28M 40S
42,46,28M 31S
44,46,27M 49S
46,46,27M 14S
46,48,26M 56S
46,51,26M 16S
47,51,26M 4S
48,51,26M 4S
49,51,26M 4S
49,53,25M 49S
51,53,25M 24S
53,53,24M 57S
53,54,24M 46S
53,55,24M 46S
54,55,24M 38S
55,55,24M 38S
57,55,24M 31S
57,56,24M 25S
57,57,24M 25S
59,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,57,23M 48S
61,60,23M 19S
61,63,22M 15S
63,63,21M 37S
64,63,20M 23S
65,63,20M 23S
Jump ball: K. Oubre vs. T. Young (D. Green gains possession),NA,20M 2S
67,63,19M 57S
67,65,18M 40S
67,67,18M 9S
70,67,17M 50S
72,67,17M 20S
73,67,16M 22S
73,69,16M 7S
75,69,15M 48S
75,72,15M 24S
76,72,15M 6S
76,73,14M 51S
76,74,14M 51S
78,74,14M 8S
79,74,14M 8S
79,75,13M 51S
79,76,13M 51S
79,77,13M 2S
79,78,12M 43S
79,79,12M 43S
82,79,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,80,11M 50S
82,81,11M 50S
84,81,11M 33S
84,82,11M 24S
84,83,11M 24S
87,83,11M 3S
87,86,10M 53S
87,88,10M 19S
89,88,9M 59S
89,89,9M 51S
89,90,9M 51S
89,91,9M 51S
91,91,9M 33S
91,93,8M 42S
94,93,8M 26S
94,94,8M 4S
94,95,8M 4S
95,95,7M 33S
96,95,7M 33S
96,96,7M 27S
96,97,7M 27S
98,97,7M 12S
98,100,7M 4S
98,103,6M 31S
98,105,6M 0S
99,105,4M 1S
100,105,4M 1S
103,105,2M 38S
103,107,2M 21S
103,109,1M 48S
103,110,1M 48S
106,110,1M 6S
106,112,41S
106,113,36S
106,114,36S
108,114,32S
108,115,30S
111,115,10S
111,116,9S
111,117,9S
End of 4th quarter,NA,0S
