Memphis,Chicago,time_rem
28-26,22-33,48M 0S
0,0,47M 35S
2,0,47M 29S
5,0,46M 42S
5,3,46M 28S
8,3,45M 52S
8,6,45M 28S
10,6,45M 13S
10,8,44M 38S
12,8,43M 51S
12,10,43M 35S
15,10,43M 19S
15,13,42M 16S
16,13,42M 5S
16,15,41M 52S
18,15,41M 45S
19,15,41M 45S
21,15,41M 20S
21,18,40M 59S
22,18,40M 48S
23,18,40M 48S
23,20,40M 35S
23,22,40M 14S
23,23,40M 14S
26,23,39M 53S
26,26,38M 54S
28,26,38M 20S
30,26,37M 58S
30,28,37M 36S
30,30,36M 39S
33,30,36M 31S
33,33,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,35,35M 36S
34,35,35M 17S
35,35,35M 17S
35,38,35M 6S
35,40,34M 31S
35,43,34M 10S
38,43,33M 45S
41,43,32M 32S
41,46,31M 38S
43,46,31M 21S
44,46,31M 21S
46,46,30M 55S
49,46,30M 12S
49,47,29M 23S
49,48,29M 23S
49,50,28M 9S
50,50,27M 23S
50,52,27M 6S
50,54,26M 20S
53,54,26M 9S
54,54,24M 59S
55,54,24M 59S
55,55,24M 45S
57,55,24M 43S
57,57,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,57,23M 33S
59,59,23M 3S
62,59,22M 53S
65,59,22M 13S
65,61,22M 0S
67,61,21M 53S
67,64,21M 33S
70,64,21M 24S
72,64,20M 50S
72,66,20M 31S
73,66,20M 29S
73,67,20M 7S
73,68,20M 7S
75,68,19M 18S
75,70,19M 7S
77,70,18M 51S
79,70,18M 28S
79,72,18M 15S
80,72,17M 32S
80,74,17M 14S
81,74,16M 57S
82,74,16M 57S
82,76,16M 22S
84,76,16M 2S
86,76,15M 30S
89,76,14M 56S
91,76,14M 32S
91,78,13M 45S
91,79,13M 16S
91,80,13M 16S
91,81,12M 47S
94,81,12M 31S
94,83,12M 19S
94,84,12M 2S
94,85,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,87,11M 18S
96,87,11M 3S
98,87,10M 38S
101,87,9M 44S
103,87,9M 17S
103,89,8M 57S
103,90,8M 57S
103,92,8M 13S
105,92,7M 41S
107,92,7M 18S
107,94,7M 5S
109,94,6M 47S
112,94,6M 14S
114,94,5M 39S
114,97,5M 23S
114,99,4M 47S
114,101,4M 14S
115,101,4M 5S
115,103,3M 51S
118,103,3M 6S
118,106,2M 52S
120,106,2M 31S
120,108,2M 16S
121,108,1M 54S
122,108,1M 54S
122,111,1M 28S
124,111,1M 8S
124,113,58S
125,113,43S
126,113,43S
126,115,29S
End of 4th quarter,NA,0S
