Portland,Phoenix,time_rem
41-30,49-21,48M 0S
2,0,47M 43S
2,2,47M 26S
5,2,47M 8S
5,3,46M 54S
5,4,46M 54S
5,6,45M 17S
5,9,44M 50S
7,9,44M 36S
7,11,44M 16S
9,11,43M 59S
11,11,43M 24S
11,13,42M 32S
13,13,41M 53S
15,13,41M 25S
15,16,41M 11S
18,16,40M 52S
18,19,40M 37S
18,21,40M 6S
18,22,40M 6S
20,22,39M 20S
22,22,38M 43S
22,24,38M 20S
22,25,37M 44S
22,26,37M 44S
23,26,36M 46S
24,26,36M 46S
26,26,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,26,35M 28S
29,28,35M 9S
31,28,34M 52S
31,31,34M 41S
33,31,34M 23S
33,33,34M 9S
33,34,32M 27S
33,35,32M 27S
36,35,32M 15S
38,35,31M 47S
38,37,31M 19S
41,37,30M 41S
41,39,29M 58S
41,42,29M 34S
43,42,28M 50S
43,44,27M 58S
44,44,26M 51S
45,44,26M 51S
45,46,26M 36S
47,46,26M 25S
47,47,25M 46S
47,48,25M 46S
50,48,25M 33S
50,49,25M 21S
50,50,25M 21S
53,50,25M 5S
53,52,24M 47S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,55,23M 12S
55,55,22M 55S
55,57,22M 47S
58,57,22M 25S
58,59,22M 1S
58,61,21M 40S
59,61,21M 25S
60,61,21M 25S
60,62,20M 32S
62,62,20M 8S
64,62,19M 36S
64,65,19M 13S
67,65,18M 38S
67,67,18M 19S
67,69,17M 54S
67,71,17M 28S
70,71,16M 8S
70,72,15M 49S
70,73,15M 49S
70,75,15M 7S
72,75,14M 50S
72,78,14M 7S
72,81,13M 33S
75,81,13M 10S
75,83,12M 45S
75,84,12M 28S
75,85,12M 28S
77,85,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,85,11M 46S
80,88,11M 22S
82,88,11M 1S
82,91,10M 49S
83,91,10M 31S
85,91,10M 23S
85,93,10M 10S
87,93,9M 56S
88,93,9M 56S
88,96,8M 56S
90,96,8M 36S
90,98,8M 14S
92,98,7M 48S
92,101,7M 32S
95,101,7M 6S
95,103,6M 52S
97,103,6M 39S
97,105,6M 25S
100,105,6M 12S
100,107,5M 55S
101,107,5M 44S
103,107,4M 53S
104,107,4M 23S
107,107,4M 0S
107,109,3M 21S
109,109,3M 5S
109,110,2M 37S
109,111,2M 37S
111,111,2M 13S
111,113,1M 46S
112,113,1M 32S
113,113,1M 32S
114,113,1M 13S
115,113,1M 13S
115,114,1M 4S
117,114,34S
117,115,32S
117,116,32S
117,117,2S
117,118,2S
End of 4th quarter,NA,0S
