Brooklyn,Philadelphia,time_rem
14-11,17-7,48M 0S
0,0,47M 42S
2,0,47M 37S
2,1,47M 24S
2,2,47M 24S
5,2,47M 11S
5,4,46M 25S
8,4,45M 35S
10,4,45M 17S
10,6,44M 57S
10,8,44M 25S
12,8,44M 8S
12,10,43M 53S
12,12,43M 31S
15,12,43M 13S
15,14,42M 47S
17,14,42M 28S
17,17,41M 44S
17,20,41M 18S
19,20,41M 1S
19,22,40M 46S
19,23,40M 46S
19,24,40M 46S
22,24,40M 3S
22,26,39M 49S
22,28,39M 25S
25,28,38M 38S
25,30,38M 22S
27,30,37M 47S
27,32,37M 10S
29,32,36M 48S
29,33,36M 21S
29,34,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,36,34M 53S
29,38,34M 15S
31,38,33M 24S
31,40,33M 1S
34,40,32M 47S
34,42,32M 27S
35,42,32M 2S
36,42,32M 2S
36,44,31M 51S
39,44,31M 25S
39,46,30M 54S
41,46,30M 39S
43,46,29M 49S
43,48,29M 36S
45,48,29M 26S
45,50,29M 3S
47,50,28M 26S
48,50,27M 56S
49,50,27M 56S
51,50,27M 25S
53,50,26M 50S
53,52,26M 31S
56,52,25M 52S
56,54,25M 14S
56,57,24M 47S
56,59,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,59,23M 48S
59,61,23M 33S
59,62,23M 33S
59,64,23M 5S
60,64,22M 45S
61,64,22M 45S
61,67,22M 30S
64,67,22M 3S
67,67,21M 36S
69,67,20M 53S
69,69,20M 36S
71,69,20M 19S
71,70,20M 0S
73,70,19M 43S
73,71,19M 31S
73,72,19M 31S
73,74,19M 6S
73,76,18M 48S
76,76,18M 25S
76,78,18M 7S
76,79,18M 7S
78,79,17M 15S
79,79,17M 15S
79,81,17M 1S
79,84,16M 32S
79,87,16M 12S
79,89,15M 53S
79,91,15M 10S
79,92,14M 10S
79,93,14M 10S
81,93,13M 47S
81,94,13M 34S
81,95,13M 34S
83,95,13M 25S
83,97,13M 12S
83,99,12M 59S
86,99,12M 15S
86,101,12M 1S
86,102,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,105,11M 50S
87,105,11M 32S
88,105,11M 32S
89,105,11M 32S
89,107,11M 9S
91,107,10M 13S
91,109,9M 57S
94,109,9M 45S
94,112,9M 5S
97,112,8M 43S
99,112,7M 3S
99,114,6M 18S
100,114,5M 11S
100,116,4M 47S
102,116,4M 10S
104,116,3M 1S
105,116,2M 43S
106,116,2M 43S
106,117,2M 30S
106,118,2M 30S
106,121,1M 28S
107,121,1M 21S
108,121,1M 21S
108,124,1M 3S
End of 4th quarter,NA,0S
