Golden State,Minnesota,time_rem
31-32,20-44,48M 0S
0,0,47M 48S
2,0,47M 35S
2,2,47M 20S
4,2,46M 24S
6,2,44M 38S
6,5,44M 16S
9,5,43M 52S
9,6,43M 13S
9,7,43M 13S
11,7,43M 3S
14,7,42M 24S
14,10,42M 5S
14,13,41M 32S
16,13,41M 13S
16,15,40M 43S
19,15,40M 30S
19,17,40M 22S
20,17,39M 18S
20,20,38M 55S
21,20,38M 37S
22,20,38M 37S
22,23,38M 27S
25,23,38M 18S
25,25,37M 59S
25,28,37M 1S
25,31,36M 49S
25,33,36M 12S
25,35,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,37,34M 6S
27,37,33M 48S
28,37,33M 48S
28,39,33M 35S
30,39,32M 4S
32,39,31M 17S
35,39,30M 49S
35,41,30M 35S
35,42,30M 35S
38,42,30M 20S
38,44,30M 7S
38,47,29M 1S
40,47,28M 36S
43,47,27M 31S
45,47,26M 59S
45,48,26M 55S
45,49,26M 55S
47,49,26M 31S
47,52,26M 19S
47,54,26M 0S
49,54,25M 51S
50,54,25M 41S
51,54,25M 32S
51,55,25M 13S
54,55,24M 59S
54,58,24M 38S
55,58,24M 29S
56,58,24M 29S
58,58,24M 16S
58,60,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,63,22M 51S
58,66,22M 23S
58,68,22M 7S
61,68,21M 51S
61,70,20M 38S
61,71,20M 35S
64,71,20M 16S
64,74,19M 56S
64,75,19M 29S
64,76,19M 29S
66,76,19M 1S
66,79,18M 38S
67,79,18M 5S
68,79,18M 5S
71,79,17M 32S
73,79,16M 50S
73,81,16M 21S
73,82,16M 21S
75,82,15M 54S
75,84,15M 35S
78,84,15M 15S
79,84,14M 45S
80,84,14M 45S
Jump ball: D. Green vs. N. Reid (M. Mulder gains possession),NA,14M 30S
83,84,14M 22S
83,87,14M 12S
85,87,14M 0S
87,87,13M 29S
87,89,13M 1S
90,89,12M 49S
91,89,12M 49S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,91,11M 44S
93,91,11M 26S
93,93,11M 14S
95,93,10M 54S
95,96,10M 34S
97,96,10M 21S
97,99,9M 3S
99,99,8M 41S
99,101,8M 21S
99,104,7M 45S
99,106,7M 5S
101,106,6M 52S
102,106,6M 52S
102,108,6M 27S
105,108,6M 10S
105,109,5M 42S
107,109,5M 24S
107,110,5M 8S
107,111,5M 8S
107,114,4M 41S
107,117,4M 12S
109,117,3M 34S
109,118,2M 4S
111,118,1M 57S
112,118,1M 57S
112,120,1M 45S
112,121,1M 10S
112,122,1M 10S
112,123,1M 4S
112,124,1M 4S
114,124,58S
114,125,57S
114,126,57S
End of 4th quarter,NA,0S
