Sacramento,LA Clippers,time_rem
5-10,11-4,48M 0S
0,2,47M 40S
2,2,47M 23S
2,3,45M 26S
5,3,45M 20S
5,6,45M 3S
7,6,44M 46S
9,6,44M 7S
11,6,43M 40S
11,8,43M 28S
11,10,43M 4S
14,10,42M 54S
16,10,42M 20S
16,13,41M 56S
17,13,41M 48S
19,13,41M 27S
19,16,41M 14S
19,18,40M 23S
22,18,40M 9S
22,20,39M 50S
22,23,39M 23S
24,23,38M 36S
26,23,38M 4S
26,25,37M 18S
27,25,37M 5S
29,25,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,27,35M 17S
29,29,34M 39S
31,29,34M 17S
31,30,34M 4S
31,31,34M 4S
34,31,33M 49S
34,33,33M 29S
37,33,33M 17S
37,35,32M 48S
37,37,32M 21S
39,37,31M 59S
39,40,31M 45S
41,40,31M 28S
41,42,31M 7S
41,45,30M 6S
43,45,28M 54S
43,48,28M 46S
46,48,28M 33S
48,48,27M 47S
49,48,27M 47S
49,49,27M 20S
49,50,27M 20S
51,50,27M 13S
51,53,26M 55S
53,53,26M 31S
53,55,26M 8S
53,58,25M 23S
53,61,24M 27S
56,61,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,64,23M 23S
59,64,22M 59S
59,66,22M 30S
61,66,22M 13S
61,69,21M 57S
61,71,21M 36S
63,71,21M 24S
63,73,20M 20S
63,76,19M 41S
63,78,18M 55S
63,79,18M 33S
63,80,18M 33S
65,80,18M 3S
67,80,17M 32S
67,82,17M 7S
70,82,16M 49S
73,82,16M 11S
73,84,14M 33S
73,85,14M 12S
73,86,14M 12S
73,88,13M 49S
73,89,13M 49S
73,92,13M 14S
73,94,12M 48S
73,95,12M 48S
75,95,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,95,10M 45S
78,97,10M 29S
81,97,9M 43S
83,97,9M 6S
83,98,8M 54S
83,99,8M 54S
85,99,8M 36S
88,99,7M 52S
88,101,7M 10S
88,104,6M 7S
90,104,4M 4S
91,104,4M 4S
91,106,3M 43S
91,107,2M 38S
91,108,2M 38S
93,108,2M 23S
94,108,1M 53S
94,110,1M 41S
96,110,1M 28S
96,113,1M 16S
96,114,19S
96,115,19S
End of 4th quarter,NA,0S
