Houston,Portland,time_rem
0-1,1-1,48M 0S
0,0,47M 43S
2,0,47M 21S
4,0,46M 48S
4,2,46M 36S
4,5,45M 55S
4,8,45M 19S
6,8,44M 40S
6,10,44M 26S
6,12,43M 35S
8,12,43M 20S
10,12,42M 39S
10,14,41M 34S
10,15,41M 14S
13,15,41M 3S
13,16,40M 52S
15,16,40M 39S
15,19,40M 27S
17,19,40M 19S
20,19,40M 0S
20,22,39M 26S
22,22,39M 4S
24,22,38M 31S
24,25,37M 56S
25,25,37M 49S
26,25,37M 49S
26,27,37M 32S
29,27,36M 36S
30,27,36M 2S
31,27,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,27,35M 39S
33,28,34M 53S
33,30,34M 30S
34,30,34M 16S
35,30,34M 16S
Jump ball: D. Nwaba vs. A. Simons (C. Wood gains possession),NA,33M 21S
37,30,33M 15S
38,30,32M 49S
40,30,32M 17S
42,30,31M 49S
42,32,31M 34S
45,32,31M 21S
45,33,31M 1S
47,33,30M 15S
47,36,30M 6S
48,36,29M 51S
49,36,29M 51S
51,36,29M 31S
51,39,29M 19S
52,39,28M 56S
55,39,28M 30S
55,41,28M 23S
55,42,28M 23S
57,42,28M 0S
57,44,27M 43S
59,44,27M 16S
59,47,27M 1S
59,49,26M 14S
59,51,25M 58S
60,51,25M 45S
61,51,25M 45S
61,52,25M 39S
61,53,25M 39S
61,56,25M 22S
62,56,25M 4S
63,56,25M 4S
66,56,24M 51S
66,58,24M 29S
68,58,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,58,23M 34S
71,58,22M 41S
72,58,22M 41S
72,61,22M 0S
72,62,21M 29S
72,63,21M 29S
72,65,21M 16S
Jump ball: D. Jones vs. D. Nwaba (D. Lillard gains possession),NA,20M 34S
72,68,20M 25S
74,68,20M 11S
74,71,20M 0S
74,72,19M 38S
74,75,19M 8S
75,75,18M 54S
76,75,18M 54S
77,75,18M 54S
77,78,18M 10S
78,78,17M 51S
78,80,17M 30S
80,80,17M 4S
81,80,15M 47S
82,80,15M 47S
83,80,15M 15S
83,83,14M 24S
83,84,14M 12S
85,84,12M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,85,11M 16S
85,86,11M 16S
85,88,10M 44S
87,88,10M 30S
87,90,10M 13S
87,92,9M 13S
89,92,8M 57S
91,92,7M 36S
93,92,7M 11S
93,94,6M 47S
96,94,6M 24S
96,97,6M 12S
98,97,5M 58S
98,100,5M 25S
98,102,4M 51S
98,103,4M 16S
98,104,4M 16S
100,104,3M 43S
100,106,3M 29S
103,106,3M 12S
103,109,2M 56S
105,109,2M 36S
105,111,2M 23S
106,111,2M 7S
107,111,2M 7S
109,111,1M 32S
111,111,1M 5S
111,113,52S
113,113,38S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: C. Wood vs. J. Nurkić (D. Jones gains possession),NA,5M 0S
113,115,4M 39S
116,115,4M 13S
116,117,4M 5S
118,117,3M 40S
118,119,3M 24S
118,121,2M 44S
118,123,2M 3S
120,123,1M 14S
123,123,38S
123,125,30S
126,125,15S
126,128,6S
End of 1st overtime,NA,0S
