Oklahoma City,Memphis,time_rem
11-17,12-12,48M 0S
0,0,47M 37S
3,0,46M 55S
3,1,46M 44S
3,2,46M 44S
6,2,46M 26S
6,4,46M 9S
6,6,45M 37S
7,6,45M 4S
8,6,45M 4S
8,7,44M 27S
8,8,44M 27S
11,8,43M 54S
11,11,43M 44S
13,11,43M 30S
13,13,43M 15S
14,13,43M 4S
15,13,43M 4S
16,13,43M 4S
16,15,42M 48S
18,15,42M 30S
18,17,42M 20S
18,19,41M 55S
18,21,41M 32S
18,24,41M 9S
19,24,40M 53S
20,24,40M 53S
20,26,40M 39S
21,26,40M 16S
22,26,40M 16S
22,28,40M 3S
24,28,39M 56S
26,28,39M 22S
27,28,38M 30S
28,28,38M 30S
31,28,37M 53S
Jump ball: J. Konchar vs. T. Maledon (K. Anderson gains possession),NA,36M 56S
31,30,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,30,34M 54S
34,32,34M 2S
34,33,33M 41S
34,34,33M 41S
36,34,33M 22S
38,34,33M 1S
38,35,32M 48S
38,36,32M 48S
38,38,32M 24S
Jump ball: S. McDermott vs. D. Miller (B. Clarke gains possession),NA,32M 5S
38,41,31M 29S
41,41,31M 12S
44,41,30M 30S
44,44,30M 14S
44,46,29M 34S
44,48,29M 18S
46,48,28M 23S
46,50,27M 34S
48,50,27M 12S
48,52,26M 34S
51,52,26M 18S
54,52,25M 54S
54,54,25M 9S
54,57,24M 46S
56,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,57,23M 42S
57,59,22M 51S
57,60,22M 8S
57,62,21M 11S
57,63,21M 11S
58,63,20M 56S
58,65,20M 44S
58,67,20M 24S
61,67,19M 38S
63,67,19M 7S
64,67,19M 7S
64,68,18M 38S
64,69,18M 38S
67,69,18M 26S
68,69,17M 54S
69,69,17M 54S
69,71,17M 41S
69,73,16M 35S
72,73,16M 10S
72,76,15M 45S
72,77,15M 24S
72,78,15M 24S
72,80,14M 50S
75,80,14M 34S
75,83,13M 55S
76,83,13M 43S
79,83,13M 32S
79,86,13M 15S
81,86,13M 0S
82,86,12M 46S
85,86,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,86,12M 0S
87,86,11M 33S
87,88,11M 3S
87,91,10M 55S
87,93,10M 14S
87,94,9M 49S
87,95,9M 18S
89,95,8M 55S
90,95,8M 55S
90,97,8M 39S
90,99,8M 2S
90,100,7M 34S
90,103,7M 3S
90,104,6M 41S
90,105,6M 41S
92,105,6M 23S
92,106,6M 9S
95,106,5M 56S
95,109,4M 41S
97,109,4M 23S
97,110,4M 2S
97,111,4M 2S
99,111,3M 52S
101,111,3M 24S
101,113,2M 57S
101,116,2M 15S
102,116,2M 8S
103,116,2M 8S
103,118,1M 46S
106,118,1M 40S
109,118,52S
109,119,29S
109,120,29S
112,120,25S
113,120,25S
113,121,14S
113,122,14S
End of 4th quarter,NA,0S
