New Orleans,LA Lakers,time_rem
4-7,11-3,48M 0S
2,0,47M 41S
2,3,47M 27S
4,3,47M 0S
6,3,45M 55S
6,6,45M 39S
8,6,45M 24S
11,6,44M 56S
11,7,44M 22S
14,7,43M 29S
14,9,42M 38S
16,9,42M 15S
18,9,41M 35S
20,9,40M 46S
20,11,40M 21S
20,14,39M 55S
22,14,39M 15S
24,14,38M 3S
27,14,37M 39S
28,14,37M 39S
28,16,37M 26S
28,17,36M 58S
28,19,36M 35S
28,20,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,22,35M 54S
30,22,35M 40S
32,22,35M 5S
35,22,33M 41S
35,24,33M 28S
35,26,32M 49S
37,26,32M 16S
38,26,32M 16S
38,27,31M 43S
38,28,31M 43S
40,28,31M 28S
40,30,31M 18S
42,30,31M 1S
45,30,30M 37S
45,31,30M 24S
45,32,30M 24S
45,35,29M 56S
45,38,29M 36S
45,40,28M 58S
45,41,28M 58S
48,41,28M 48S
50,41,28M 12S
50,42,28M 3S
50,43,28M 3S
52,43,27M 40S
52,44,27M 32S
54,44,27M 14S
54,45,27M 5S
54,46,27M 5S
54,48,26M 32S
56,48,26M 6S
56,51,25M 46S
56,52,25M 23S
56,53,25M 23S
58,53,25M 5S
58,55,24M 55S
58,57,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,59,23M 49S
58,62,23M 13S
60,62,22M 59S
60,65,21M 47S
61,65,21M 15S
62,65,21M 15S
65,65,20M 22S
65,67,20M 5S
67,67,19M 45S
70,67,18M 40S
70,69,18M 18S
70,71,17M 48S
70,73,17M 30S
70,76,16M 33S
70,79,15M 56S
70,80,14M 11S
70,82,13M 15S
72,82,13M 2S
72,84,12M 29S
74,84,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,84,11M 14S
79,84,10M 45S
79,86,10M 32S
79,87,10M 4S
79,88,10M 4S
79,90,8M 49S
79,93,8M 17S
79,96,7M 40S
81,96,7M 11S
83,96,6M 45S
83,98,6M 24S
83,100,5M 43S
83,103,5M 6S
83,105,4M 51S
83,108,4M 18S
85,108,4M 4S
85,109,3M 22S
87,109,2M 34S
87,112,1M 45S
89,112,1M 35S
91,112,1M 15S
93,112,46S
95,112,19S
End of 4th quarter,NA,0S
