Cleveland,Golden State,time_rem
10-19,15-13,48M 0S
0,0,47M 45S
2,0,46M 53S
2,3,46M 45S
2,5,46M 9S
4,5,45M 52S
5,5,45M 52S
5,8,45M 12S
5,11,44M 42S
6,11,44M 28S
7,11,44M 28S
9,11,43M 59S
9,13,43M 47S
9,14,43M 47S
11,14,43M 33S
11,16,42M 57S
13,16,42M 3S
13,18,41M 51S
13,19,41M 51S
15,19,41M 32S
17,19,40M 59S
20,19,40M 22S
22,19,40M 4S
22,21,39M 52S
25,21,39M 15S
25,23,39M 1S
25,24,39M 1S
27,24,38M 40S
27,26,38M 17S
29,26,37M 56S
29,29,37M 46S
29,32,37M 14S
30,32,37M 0S
32,32,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,32,35M 26S
34,33,35M 9S
34,34,35M 9S
34,36,34M 47S
35,36,34M 35S
36,36,34M 35S
37,36,34M 10S
37,38,33M 50S
39,38,33M 29S
39,40,33M 14S
39,41,33M 14S
41,41,31M 24S
42,41,30M 35S
43,41,30M 35S
44,41,30M 35S
46,41,30M 9S
46,43,30M 0S
46,45,28M 56S
46,48,28M 33S
47,48,28M 20S
47,50,28M 6S
47,51,28M 6S
50,51,27M 51S
50,54,26M 46S
50,57,25M 44S
51,57,25M 30S
52,57,25M 30S
52,59,25M 20S
52,62,24M 44S
54,62,24M 30S
54,64,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,66,23M 46S
Jump ball: J. Allen vs. J. Toscano,Anderson (I. Okoro gains possession),23M 25S
56,66,23M 11S
56,68,22M 58S
58,68,22M 52S
58,71,22M 42S
60,71,22M 21S
60,74,22M 8S
62,74,21M 34S
62,76,21M 28S
64,76,20M 48S
64,78,19M 28S
67,78,19M 11S
70,78,18M 41S
70,80,18M 26S
70,81,18M 0S
70,82,18M 0S
72,82,17M 49S
72,85,17M 34S
72,88,17M 9S
72,90,16M 38S
73,90,16M 17S
74,90,16M 17S
74,93,15M 59S
74,95,15M 7S
74,97,14M 47S
76,97,14M 5S
76,98,13M 55S
76,99,13M 55S
78,99,13M 35S
81,99,13M 11S
84,99,12M 36S
84,100,12M 35S
84,101,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,101,11M 39S
86,103,10M 46S
86,104,10M 11S
86,105,10M 11S
86,107,8M 48S
88,107,7M 54S
88,109,7M 26S
88,112,6M 58S
88,114,6M 39S
90,114,4M 53S
90,115,3M 23S
93,115,2M 56S
93,117,2M 35S
93,118,2M 10S
93,119,2M 10S
93,122,1M 39S
95,122,1M 32S
95,125,1M 21S
96,125,1M 11S
96,126,54S
96,127,54S
96,129,30S
98,129,20S
End of 4th quarter,NA,0S
