Philadelphia,Portland,time_rem
18-8,14-10,48M 0S
2,0,47M 36S
2,3,47M 24S
4,3,47M 4S
4,5,46M 41S
4,8,46M 17S
6,8,46M 1S
7,8,45M 42S
8,8,45M 42S
8,11,45M 25S
10,11,45M 15S
11,11,45M 15S
11,14,44M 53S
13,14,44M 33S
13,17,44M 22S
13,20,43M 55S
14,20,43M 49S
15,20,43M 49S
15,22,43M 22S
16,22,43M 4S
17,22,43M 4S
17,25,42M 49S
19,25,42M 0S
20,25,41M 13S
21,25,41M 13S
Jump ball: E. Freedom vs. D. Green (C. Anthony gains possession),NA,40M 39S
23,25,40M 23S
23,27,40M 0S
26,27,39M 47S
26,28,39M 27S
28,28,39M 4S
30,28,38M 40S
32,28,38M 9S
32,29,37M 53S
32,30,37M 53S
32,31,37M 53S
35,31,37M 28S
35,32,37M 19S
35,33,37M 19S
35,34,37M 19S
35,37,36M 48S
36,37,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,39,34M 56S
37,39,34M 35S
38,39,34M 35S
40,39,33M 37S
41,39,33M 37S
41,42,33M 15S
43,42,32M 31S
44,42,32M 31S
44,43,32M 20S
44,44,32M 20S
44,46,31M 57S
44,48,31M 24S
44,50,30M 57S
45,50,30M 49S
46,50,30M 49S
46,52,30M 31S
46,54,29M 48S
48,54,29M 34S
48,56,29M 13S
50,56,28M 58S
50,58,28M 43S
52,58,28M 3S
53,58,26M 59S
55,58,26M 34S
57,58,25M 53S
Jump ball: J. Embiid vs. R. Hood (B. Simmons gains possession),NA,25M 15S
59,58,25M 8S
59,59,24M 26S
59,60,24M 26S
61,60,24M 2S
63,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,60,23M 38S
68,60,23M 16S
68,62,22M 41S
68,64,22M 0S
70,64,21M 39S
70,67,21M 21S
70,69,20M 56S
72,69,20M 42S
Jump ball: D. Green vs. G. Trent (B. Simmons gains possession),NA,20M 6S
75,69,19M 54S
75,70,19M 43S
75,71,19M 43S
75,73,19M 15S
77,73,18M 59S
77,76,18M 21S
80,76,17M 58S
80,79,17M 30S
81,79,17M 10S
81,81,16M 26S
83,81,16M 10S
83,82,15M 54S
85,82,15M 14S
87,82,14M 22S
88,82,14M 22S
88,85,14M 0S
88,87,13M 20S
90,87,13M 0S
92,87,12M 38S
93,87,12M 3S
93,88,12M 3S
93,89,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,89,11M 38S
95,91,10M 53S
95,93,10M 14S
97,93,9M 57S
97,96,9M 46S
97,99,8M 58S
97,102,8M 28S
99,102,8M 4S
99,104,7M 35S
101,104,7M 18S
101,106,6M 53S
101,108,6M 8S
102,108,5M 51S
103,108,5M 51S
105,108,4M 58S
107,108,4M 15S
107,109,3M 6S
108,109,2M 41S
109,109,2M 41S
109,112,2M 21S
109,114,1M 15S
111,114,1M 1S
114,114,22S
114,115,3S
114,116,3S
114,117,1S
114,118,1S
End of 4th quarter,NA,0S
