Indiana,Portland,time_rem
8-4,7-5,48M 0S
0,0,47M 39S
3,0,47M 21S
6,0,46M 55S
6,2,46M 34S
6,5,46M 4S
6,7,45M 19S
8,7,45M 1S
8,9,44M 34S
10,9,44M 15S
11,9,43M 44S
12,9,43M 44S
12,12,42M 10S
14,12,41M 42S
16,12,41M 28S
18,12,40M 54S
18,14,40M 37S
18,15,40M 17S
18,16,40M 17S
20,16,39M 50S
20,19,39M 41S
20,21,39M 8S
22,21,38M 54S
24,21,38M 27S
24,22,37M 54S
24,23,37M 54S
26,23,37M 34S
26,26,37M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,26,35M 34S
28,28,35M 12S
30,28,34M 56S
33,28,33M 53S
34,28,33M 23S
36,28,32M 50S
38,28,31M 29S
40,28,31M 3S
40,30,30M 49S
40,32,30M 22S
42,32,30M 5S
44,32,29M 13S
47,32,28M 41S
47,34,28M 27S
49,34,27M 57S
51,34,27M 33S
Jump ball: J. Nurkić vs. M. Turner (D. Lillard gains possession),NA,27M 4S
53,34,26M 18S
55,34,25M 45S
56,34,25M 19S
57,34,25M 19S
59,34,24M 42S
59,35,24M 34S
59,36,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,39,23M 38S
59,42,23M 5S
62,42,21M 56S
62,44,21M 21S
62,46,20M 35S
64,46,20M 12S
64,49,20M 2S
66,49,19M 38S
66,52,19M 29S
69,52,19M 0S
71,52,18M 23S
71,55,17M 35S
71,57,16M 38S
73,57,16M 28S
73,59,16M 6S
73,62,15M 46S
75,62,15M 24S
78,62,14M 48S
78,63,14M 34S
78,64,14M 34S
78,66,13M 55S
80,66,13M 43S
80,67,13M 26S
80,68,13M 26S
81,68,12M 36S
82,68,12M 36S
82,71,12M 26S
84,71,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,71,10M 5S
87,71,10M 5S
89,71,9M 16S
89,73,8M 52S
89,75,7M 55S
91,75,6M 45S
93,75,6M 31S
93,78,6M 13S
95,78,5M 46S
Jump ball: D. Sabonis vs. D. Lillard (T. McConnell gains possession),NA,5M 32S
96,78,5M 15S
97,78,4M 44S
98,78,4M 44S
98,80,4M 29S
100,80,4M 10S
101,80,4M 10S
101,82,3M 55S
103,82,3M 41S
106,82,3M 7S
109,82,1M 25S
109,85,57S
110,85,35S
111,85,35S
111,87,27S
End of 4th quarter,NA,0S
