Milwaukee,Memphis,time_rem
22-14,16-16,48M 0S
0,0,47M 42S
2,0,47M 15S
2,2,46M 43S
5,2,46M 32S
7,2,46M 11S
7,4,44M 38S
10,4,44M 20S
10,6,43M 15S
13,6,42M 59S
13,9,42M 9S
14,9,41M 57S
17,9,41M 15S
19,9,39M 57S
22,9,39M 27S
22,11,39M 13S
24,11,38M 34S
24,14,38M 11S
27,14,37M 57S
29,14,37M 7S
29,17,36M 40S
31,17,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,19,35M 46S
33,19,35M 29S
33,21,34M 44S
36,21,34M 24S
36,23,34M 15S
39,23,33M 57S
39,25,32M 59S
39,26,32M 59S
39,27,32M 30S
39,28,32M 30S
42,28,32M 10S
44,28,31M 18S
46,28,30M 46S
46,31,30M 21S
46,33,29M 56S
48,33,29M 41S
48,35,29M 16S
48,36,29M 3S
48,37,29M 3S
50,37,28M 48S
50,38,28M 48S
50,40,28M 37S
52,40,28M 16S
53,40,28M 16S
55,40,27M 49S
55,43,27M 37S
55,44,27M 9S
55,45,27M 9S
56,45,26M 51S
57,45,26M 51S
57,47,26M 34S
57,49,26M 8S
59,49,25M 47S
59,51,24M 9S
61,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,53,23M 48S
63,53,22M 51S
65,53,22M 23S
67,53,21M 41S
67,54,21M 28S
67,55,21M 28S
67,57,21M 11S
67,59,20M 23S
69,59,19M 48S
69,61,19M 37S
71,61,19M 27S
71,62,19M 14S
71,63,19M 14S
73,63,18M 14S
73,64,18M 4S
73,65,18M 4S
75,65,17M 23S
75,68,17M 11S
77,68,16M 0S
77,70,15M 54S
77,72,15M 33S
77,75,14M 43S
79,75,14M 23S
79,77,14M 6S
81,77,13M 23S
82,77,13M 23S
82,79,13M 5S
82,81,12M 46S
82,82,12M 46S
82,83,12M 9S
82,84,12M 9S
83,84,12M 1S
84,84,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,86,11M 29S
85,86,11M 7S
86,86,11M 7S
86,88,10M 29S
86,89,10M 29S
86,91,9M 30S
88,91,9M 10S
88,93,8M 25S
89,93,8M 17S
91,93,7M 39S
91,95,7M 29S
91,98,6M 44S
93,98,5M 51S
93,99,5M 31S
93,100,5M 31S
95,100,5M 13S
96,100,4M 44S
97,100,4M 44S
99,100,4M 14S
99,102,3M 53S
100,102,3M 44S
101,102,3M 44S
101,103,3M 29S
101,104,3M 29S
102,104,1M 51S
103,104,1M 51S
103,106,1M 30S
105,106,1M 22S
105,107,1M 1S
108,107,39S
108,109,25S
109,109,13S
110,109,13S
110,111,7S
112,111,2S
End of 4th quarter,NA,0S
