Denver,Minnesota,time_rem
46-24,22-48,48M 0S
0,0,47M 53S
2,0,47M 47S
2,3,47M 31S
4,3,46M 20S
6,3,45M 52S
6,6,45M 31S
8,6,45M 13S
8,8,44M 56S
10,8,44M 38S
10,11,44M 20S
10,13,44M 1S
12,13,43M 44S
12,15,43M 25S
14,15,42M 59S
16,15,42M 36S
18,15,41M 53S
20,15,41M 29S
20,18,40M 24S
20,19,40M 0S
20,20,40M 0S
23,20,39M 44S
25,20,39M 21S
25,22,39M 8S
28,22,38M 50S
28,24,38M 32S
30,24,38M 8S
30,26,37M 17S
32,26,36M 52S
35,26,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,29,35M 38S
35,30,34M 23S
35,31,33M 52S
37,31,32M 40S
38,31,32M 40S
38,33,32M 3S
41,33,31M 46S
41,36,31M 32S
43,36,31M 15S
45,36,30M 45S
45,38,30M 31S
45,39,30M 6S
47,39,29M 53S
50,39,29M 23S
52,39,28M 57S
52,40,28M 31S
52,42,27M 41S
54,42,27M 16S
54,45,27M 6S
55,45,26M 43S
56,45,26M 43S
56,48,26M 32S
58,48,26M 7S
61,48,25M 16S
61,49,24M 43S
61,50,24M 43S
61,52,24M 24S
63,52,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,54,23M 45S
64,54,23M 23S
65,54,23M 23S
65,56,23M 6S
67,56,22M 56S
67,58,22M 48S
67,59,22M 25S
67,60,22M 25S
69,60,22M 3S
71,60,21M 29S
71,63,21M 17S
73,63,20M 57S
75,63,20M 30S
75,66,19M 55S
75,69,19M 18S
77,69,19M 0S
77,72,18M 2S
79,72,17M 26S
79,75,17M 15S
81,75,16M 57S
84,75,16M 27S
86,75,15M 53S
86,76,15M 43S
86,77,15M 43S
89,77,15M 24S
90,77,15M 9S
90,79,14M 55S
90,80,14M 30S
92,80,13M 52S
92,81,13M 47S
92,84,13M 22S
92,86,12M 53S
92,89,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,89,11M 13S
95,91,9M 45S
98,91,9M 32S
99,91,8M 50S
99,92,8M 36S
99,93,8M 19S
99,94,8M 19S
101,94,7M 14S
104,94,6M 40S
106,94,5M 47S
107,94,5M 47S
107,96,5M 26S
109,96,4M 34S
109,97,4M 22S
109,99,3M 28S
109,100,1M 56S
112,100,1M 37S
112,103,49S
113,103,25S
114,103,25S
End of 4th quarter,NA,0S
