Atlanta,Indiana,time_rem
37-31,31-35,48M 0S
0,0,47M 44S
0,2,47M 41S
3,2,47M 24S
3,5,46M 43S
5,5,46M 26S
5,7,46M 9S
5,9,44M 51S
8,9,44M 41S
8,10,44M 31S
8,11,44M 31S
8,13,44M 11S
8,14,44M 11S
10,14,43M 44S
10,17,43M 37S
12,17,43M 19S
14,17,42M 37S
14,20,42M 19S
16,20,41M 35S
18,20,41M 7S
18,22,40M 54S
18,24,39M 52S
18,26,39M 3S
21,26,38M 46S
21,29,38M 30S
21,31,38M 4S
22,31,37M 44S
23,31,37M 44S
23,33,37M 23S
23,34,36M 42S
23,36,36M 30S
25,36,36M 6S
26,36,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,38,35M 44S
29,38,35M 20S
31,38,34M 54S
31,40,34M 39S
33,40,34M 13S
33,42,33M 59S
33,45,33M 28S
35,45,33M 8S
35,47,32M 55S
38,47,32M 46S
38,49,32M 32S
40,49,32M 19S
41,49,32M 19S
41,51,32M 11S
41,53,31M 46S
41,54,31M 46S
43,54,31M 33S
43,56,31M 26S
45,56,30M 43S
45,58,30M 30S
47,58,30M 2S
47,60,29M 50S
47,62,29M 11S
47,64,28M 48S
49,64,28M 31S
52,64,27M 26S
52,65,25M 58S
52,66,25M 58S
53,66,25M 51S
54,66,25M 51S
54,68,25M 36S
56,68,25M 22S
56,70,25M 3S
57,70,24M 53S
58,70,24M 53S
58,72,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,74,23M 47S
58,76,23M 3S
60,76,22M 41S
62,76,21M 59S
63,76,21M 59S
63,78,21M 35S
66,78,21M 23S
66,81,21M 10S
66,83,20M 35S
68,83,20M 22S
68,85,20M 9S
70,85,19M 51S
73,85,19M 28S
75,85,19M 14S
Jump ball: D. Sabonis vs. J. Collins (O. Brissett gains possession),NA,18M 39S
78,85,18M 17S
79,85,17M 42S
79,86,17M 27S
79,87,17M 27S
79,89,17M 4S
80,89,16M 48S
80,91,16M 18S
82,91,15M 38S
85,91,15M 18S
85,93,15M 6S
85,94,15M 6S
85,95,15M 6S
87,95,14M 54S
87,97,14M 36S
89,97,14M 25S
89,100,14M 13S
91,100,13M 56S
92,100,13M 56S
92,103,13M 48S
94,103,13M 19S
94,104,13M 4S
95,104,12M 54S
96,104,12M 54S
96,106,12M 42S
96,108,12M 10S
96,110,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,110,11M 39S
100,110,11M 7S
103,110,10M 37S
103,112,10M 22S
106,112,9M 43S
108,112,8M 56S
110,112,8M 33S
111,112,8M 33S
111,114,8M 16S
111,116,6M 48S
111,118,6M 16S
114,118,6M 1S
114,120,5M 42S
114,122,5M 25S
117,122,5M 8S
119,122,4M 22S
121,122,3M 6S
121,124,2M 17S
121,126,1M 8S
121,127,1M 8S
124,127,52S
124,129,32S
124,130,23S
124,131,23S
126,131,18S
126,132,17S
126,133,17S
End of 4th quarter,NA,0S
