Philadelphia,Oklahoma City,time_rem
36-17,20-33,48M 0S
0,0,47M 44S
2,0,46M 57S
4,0,46M 25S
6,0,46M 10S
6,3,45M 59S
8,3,45M 38S
8,6,45M 20S
8,8,44M 44S
11,8,44M 19S
11,10,44M 0S
13,10,43M 48S
13,12,43M 35S
15,12,43M 24S
16,12,43M 5S
17,12,43M 5S
19,12,42M 15S
19,14,42M 0S
21,14,41M 5S
24,14,40M 53S
24,17,40M 38S
26,17,40M 21S
26,19,39M 39S
28,19,39M 19S
28,21,39M 0S
30,21,38M 48S
33,21,38M 30S
33,23,38M 13S
35,23,37M 59S
37,23,37M 29S
37,24,36M 55S
37,25,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,27,35M 41S
39,27,35M 30S
40,27,35M 30S
40,29,35M 9S
41,29,34M 53S
41,31,34M 15S
41,32,33M 56S
43,32,33M 24S
43,34,33M 4S
46,34,32M 49S
46,36,32M 22S
46,38,31M 42S
48,38,31M 28S
49,38,30M 36S
50,38,30M 36S
51,38,29M 57S
52,38,29M 57S
52,39,29M 44S
54,39,29M 29S
56,39,29M 6S
59,39,28M 31S
59,41,28M 16S
59,43,27M 37S
60,43,27M 32S
61,43,27M 32S
61,45,27M 12S
61,47,26M 31S
62,47,26M 14S
64,47,25M 37S
64,48,25M 22S
64,50,24M 55S
66,50,24M 10S
66,53,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,54,23M 38S
66,55,23M 38S
68,55,23M 1S
70,55,21M 56S
70,57,21M 32S
73,57,21M 7S
75,57,20M 5S
75,60,19M 45S
77,60,19M 20S
77,62,19M 10S
79,62,18M 17S
82,62,17M 24S
82,64,16M 20S
83,64,16M 6S
83,67,15M 46S
84,67,14M 12S
84,69,13M 59S
84,71,13M 16S
84,72,13M 16S
85,72,13M 6S
88,72,12M 53S
88,74,12M 31S
90,74,12M 11S
90,76,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,76,11M 24S
94,76,10M 30S
95,76,10M 30S
95,78,9M 31S
98,78,9M 26S
98,81,8M 18S
101,81,7M 59S
103,81,7M 29S
103,83,7M 22S
105,83,6M 19S
105,86,4M 41S
107,86,4M 13S
107,88,3M 36S
109,88,3M 22S
109,90,2M 52S
109,92,2M 31S
112,92,2M 8S
114,92,1M 28S
114,93,1M 21S
116,93,1M 8S
117,93,45S
End of 4th quarter,NA,0S
