Miami,Philadelphia,time_rem
4-6,9-4,48M 0S
0,0,47M 47S
3,0,47M 32S
6,0,47M 3S
6,2,46M 51S
6,5,46M 18S
6,7,46M 1S
8,7,45M 48S
10,7,45M 33S
10,9,45M 13S
12,9,44M 45S
12,11,44M 27S
14,11,44M 13S
14,14,43M 13S
14,15,42M 51S
14,16,42M 51S
14,18,42M 36S
17,18,42M 22S
17,20,42M 8S
18,20,41M 58S
20,20,41M 21S
23,20,41M 6S
23,22,40M 40S
25,22,40M 28S
25,23,39M 32S
25,24,39M 32S
26,24,39M 22S
27,24,39M 22S
29,24,38M 53S
29,26,38M 45S
29,29,38M 3S
30,29,37M 41S
30,30,37M 29S
30,31,37M 29S
30,33,37M 3S
30,34,36M 40S
30,35,36M 40S
30,38,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,38,35M 48S
32,41,35M 32S
33,41,35M 9S
34,41,35M 9S
37,41,34M 49S
37,42,34M 34S
37,43,34M 34S
39,43,33M 47S
39,46,33M 34S
39,48,32M 57S
39,50,32M 39S
39,53,32M 13S
41,53,31M 24S
41,56,31M 16S
43,56,30M 57S
45,56,30M 5S
45,59,29M 56S
47,59,29M 32S
47,61,28M 46S
49,61,28M 31S
51,61,28M 0S
51,64,27M 44S
53,64,27M 23S
53,66,27M 9S
53,68,26M 46S
53,69,26M 22S
53,70,26M 22S
53,72,25M 55S
56,72,25M 38S
56,73,24M 46S
58,73,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,73,23M 44S
60,75,23M 30S
60,78,23M 11S
61,78,22M 54S
Jump ball: J. Embiid vs. P. Achiuwa (B. Simmons gains possession),NA,21M 19S
63,78,20M 57S
64,78,20M 3S
66,78,19M 31S
66,80,18M 59S
66,83,18M 39S
66,84,18M 38S
66,86,18M 8S
66,89,17M 21S
66,91,16M 56S
69,91,16M 37S
71,91,15M 45S
74,91,14M 55S
74,92,14M 22S
74,93,14M 22S
75,93,14M 6S
75,96,13M 45S
78,96,13M 13S
78,98,12M 57S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,98,11M 33S
83,98,11M 9S
83,99,10M 51S
83,100,10M 51S
84,100,10M 30S
84,103,10M 15S
86,103,9M 12S
86,106,9M 0S
86,109,8M 17S
86,111,7M 22S
89,111,6M 46S
91,111,6M 10S
91,113,5M 55S
92,113,5M 39S
93,113,5M 39S
93,115,5M 10S
95,115,4M 54S
95,117,3M 59S
97,117,3M 47S
97,119,3M 11S
99,119,2M 50S
99,121,2M 34S
100,121,2M 22S
101,121,2M 22S
101,123,2M 10S
104,123,1M 59S
105,123,46S
106,123,46S
108,123,30S
108,124,22S
108,125,22S
End of 4th quarter,NA,0S
