Utah,Cleveland,time_rem
7-4,5-7,48M 0S
0,2,47M 42S
0,4,47M 16S
2,4,46M 59S
2,6,45M 20S
4,6,45M 9S
7,6,44M 39S
7,8,43M 52S
9,8,43M 30S
9,10,42M 35S
9,12,42M 2S
11,12,41M 49S
11,14,39M 38S
14,14,39M 26S
17,14,38M 42S
18,14,38M 15S
18,16,37M 59S
20,16,37M 27S
22,16,36M 30S
22,18,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,20,35M 27S
24,20,34M 46S
27,20,33M 36S
30,20,32M 2S
33,20,31M 3S
33,22,30M 34S
36,22,29M 54S
36,24,29M 35S
38,24,29M 21S
38,26,28M 59S
41,26,28M 49S
41,28,28M 27S
41,31,28M 13S
44,31,27M 14S
47,31,25M 27S
47,34,25M 12S
49,34,25M 0S
49,36,24M 50S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,36,23M 49S
52,37,22M 59S
55,37,22M 8S
57,37,21M 37S
57,38,20M 56S
60,38,20M 31S
60,40,19M 39S
61,40,19M 17S
62,40,19M 17S
64,40,18M 51S
67,40,18M 39S
67,41,18M 30S
67,42,18M 30S
68,42,18M 18S
69,42,18M 18S
69,44,17M 55S
72,44,17M 20S
72,47,17M 13S
73,47,17M 0S
74,47,17M 0S
74,50,16M 47S
74,53,16M 29S
77,53,16M 11S
79,53,15M 38S
82,53,15M 8S
82,56,14M 47S
83,56,14M 42S
84,56,14M 42S
87,56,13M 39S
87,58,13M 4S
87,59,13M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,59,11M 20S
89,61,11M 7S
92,61,10M 32S
92,63,10M 23S
94,63,8M 58S
96,63,8M 31S
96,66,8M 17S
96,68,7M 57S
98,68,7M 35S
98,70,7M 21S
101,70,7M 5S
101,73,6M 44S
103,73,6M 25S
106,73,5M 59S
106,75,5M 43S
108,75,5M 12S
108,76,4M 26S
108,78,4M 2S
111,78,3M 46S
111,80,3M 6S
114,80,2M 16S
114,81,1M 36S
114,82,1M 36S
114,84,1M 9S
114,85,1M 9S
117,85,26S
117,87,14S
End of 4th quarter,NA,0S
