Charlotte,Milwaukee,time_rem
27-24,32-20,48M 0S
0,0,47M 45S
3,0,47M 11S
3,2,46M 50S
5,2,46M 27S
5,4,46M 15S
7,4,46M 3S
7,6,45M 35S
7,9,45M 9S
10,9,44M 49S
11,9,44M 1S
12,9,44M 1S
12,11,43M 46S
13,11,42M 57S
14,11,42M 57S
14,13,42M 39S
14,16,42M 13S
17,16,42M 2S
17,18,41M 48S
20,18,41M 31S
22,18,40M 25S
23,18,40M 6S
24,18,40M 6S
26,18,38M 53S
26,20,38M 32S
27,20,38M 15S
28,20,38M 15S
28,23,37M 34S
29,23,36M 55S
30,23,36M 55S
30,24,36M 43S
30,25,36M 43S
31,25,36M 40S
32,25,36M 40S
32,27,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,27,35M 14S
34,29,35M 0S
37,29,34M 49S
39,29,34M 18S
42,29,33M 53S
42,31,33M 27S
44,31,33M 10S
46,31,32M 38S
46,33,32M 25S
48,33,32M 1S
48,36,31M 53S
48,39,30M 48S
48,41,30M 25S
51,41,29M 43S
51,44,29M 36S
54,44,29M 29S
56,44,28M 55S
56,46,28M 49S
56,48,28M 19S
56,49,26M 45S
56,50,26M 45S
56,51,26M 18S
56,52,26M 18S
57,52,26M 6S
58,52,26M 6S
58,54,25M 53S
58,55,25M 53S
61,55,25M 38S
64,55,24M 37S
66,55,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,57,23M 29S
68,57,23M 22S
68,59,23M 1S
71,59,22M 49S
71,62,22M 3S
74,62,21M 37S
76,62,20M 41S
76,64,20M 27S
79,64,20M 20S
79,67,20M 7S
79,69,19M 5S
79,70,19M 5S
81,70,18M 23S
81,71,18M 11S
83,71,17M 59S
84,71,17M 29S
86,71,17M 7S
86,74,16M 52S
88,74,16M 36S
89,74,16M 36S
89,76,15M 58S
91,76,15M 4S
91,79,14M 55S
94,79,14M 1S
94,80,13M 50S
96,80,13M 18S
96,81,12M 44S
98,81,12M 31S
100,81,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,83,11M 39S
100,85,10M 58S
102,85,10M 47S
102,88,10M 38S
105,88,10M 20S
108,88,9M 53S
108,90,9M 11S
108,92,8M 30S
108,93,8M 5S
108,94,8M 5S
109,94,7M 53S
110,94,7M 53S
112,94,7M 12S
113,94,6M 45S
113,96,6M 28S
116,96,6M 3S
116,99,5M 47S
119,99,5M 10S
119,101,4M 51S
122,101,4M 34S
122,102,3M 59S
122,104,3M 33S
124,104,2M 35S
124,105,2M 28S
124,106,2M 28S
124,108,2M 10S
124,110,1M 42S
124,112,1M 14S
124,115,54S
126,115,36S
127,115,36S
127,118,25S
127,119,25S
End of 4th quarter,NA,0S
