Washington,Philadelphia,time_rem
2-6,7-1,48M 0S
0,0,47M 42S
2,0,47M 21S
2,2,45M 56S
2,4,45M 40S
4,4,45M 30S
4,6,45M 17S
5,6,45M 11S
6,6,45M 11S
6,9,44M 51S
9,9,44M 41S
11,9,43M 52S
11,12,43M 29S
13,12,43M 1S
13,15,42M 1S
14,15,41M 43S
14,18,41M 6S
16,18,40M 17S
16,19,40M 8S
16,21,40M 0S
16,23,39M 25S
19,23,39M 9S
19,26,38M 52S
21,26,38M 39S
22,26,38M 3S
22,28,37M 37S
22,31,37M 19S
24,31,36M 33S
24,32,36M 18S
24,33,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,33,35M 40S
30,33,34M 59S
30,34,34M 44S
30,35,34M 44S
32,35,34M 32S
32,38,34M 21S
35,38,34M 5S
35,40,33M 49S
35,42,33M 23S
35,43,33M 3S
35,46,32M 34S
38,46,32M 20S
38,48,31M 59S
38,50,31M 33S
38,52,31M 12S
40,52,31M 2S
40,54,30M 57S
40,55,30M 57S
43,55,30M 46S
43,56,30M 28S
45,56,30M 4S
46,56,30M 4S
46,58,29M 50S
48,58,29M 34S
48,59,29M 30S
49,59,29M 2S
49,61,28M 42S
51,61,28M 21S
51,64,27M 57S
51,67,27M 42S
52,67,27M 29S
53,67,27M 29S
53,69,27M 19S
53,71,26M 53S
53,72,26M 53S
54,72,26M 47S
55,72,26M 47S
58,72,26M 23S
58,74,26M 4S
60,74,25M 52S
60,77,25M 38S
62,77,25M 25S
63,77,25M 0S
65,77,24M 47S
66,77,24M 20S
67,77,24M 20S
67,79,24M 6S
67,82,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,84,23M 6S
Jump ball: J. Embiid vs. T. Bryant (S. Curry gains possession),NA,22M 46S
69,84,22M 23S
69,86,22M 5S
72,86,21M 54S
75,86,21M 25S
75,88,21M 7S
75,89,20M 52S
77,89,20M 39S
77,92,20M 22S
77,95,20M 5S
77,98,19M 45S
80,98,19M 7S
82,98,18M 27S
82,99,18M 18S
82,100,18M 18S
84,100,18M 5S
84,103,17M 44S
85,103,17M 22S
88,103,16M 52S
89,103,16M 52S
89,104,16M 33S
89,105,16M 33S
92,105,16M 23S
92,106,16M 6S
92,108,15M 59S
92,109,15M 10S
92,110,15M 10S
93,110,14M 57S
94,110,14M 57S
96,110,14M 32S
97,110,14M 32S
99,110,14M 17S
100,110,13M 58S
101,110,13M 18S
102,110,13M 18S
102,112,13M 1S
104,112,12M 55S
104,114,12M 45S
105,114,12M 39S
106,114,12M 39S
106,116,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
108,116,11M 37S
110,116,11M 11S
111,116,11M 9S
113,116,10M 50S
113,117,10M 40S
115,117,10M 3S
117,117,9M 0S
119,117,8M 18S
119,119,8M 0S
122,119,7M 41S
122,122,7M 24S
122,124,6M 56S
124,124,6M 35S
124,126,6M 10S
127,126,5M 47S
127,128,5M 19S
127,130,4M 58S
127,131,4M 58S
129,131,4M 46S
131,131,4M 0S
131,133,3M 16S
131,134,3M 16S
131,135,2M 26S
131,136,2M 26S
131,139,1M 55S
134,139,1M 9S
135,139,50S
135,141,33S
136,141,4S
End of 4th quarter,NA,0S
