Milwaukee,Indiana,time_rem
45-25,33-37,48M 0S
0,0,47M 40S
0,3,47M 11S
2,3,46M 46S
2,5,46M 31S
4,5,45M 46S
4,8,45M 39S
5,8,45M 20S
5,10,45M 2S
5,13,44M 37S
8,13,44M 27S
8,15,44M 15S
10,15,44M 2S
10,18,43M 53S
12,18,43M 12S
12,21,42M 56S
14,21,42M 44S
17,21,42M 18S
19,21,41M 56S
19,23,41M 41S
21,23,41M 17S
21,25,41M 4S
23,25,40M 53S
23,26,40M 45S
23,27,40M 45S
26,27,40M 35S
28,27,40M 14S
28,30,39M 34S
31,30,39M 3S
33,30,38M 35S
33,33,38M 2S
34,33,37M 44S
35,33,37M 44S
37,33,37M 21S
37,36,37M 7S
39,36,36M 49S
39,38,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
42,38,34M 54S
42,40,34M 41S
42,43,34M 18S
42,44,34M 11S
45,44,33M 58S
45,46,33M 45S
47,46,33M 30S
47,48,32M 58S
47,50,31M 55S
49,50,31M 46S
49,52,30M 43S
51,52,30M 27S
51,55,29M 52S
53,55,29M 28S
54,55,28M 31S
55,55,28M 31S
55,58,28M 15S
56,58,28M 0S
57,58,28M 0S
59,58,27M 32S
59,60,27M 19S
59,63,26M 27S
62,63,26M 12S
64,63,25M 54S
66,63,25M 19S
68,63,24M 40S
68,66,24M 27S
69,66,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,66,23M 7S
72,66,22M 38S
74,66,22M 13S
77,66,21M 23S
79,66,20M 55S
79,68,20M 41S
81,68,20M 22S
83,68,19M 9S
83,70,18M 53S
85,70,18M 49S
86,70,18M 49S
86,73,18M 35S
87,73,18M 20S
88,73,18M 20S
88,75,18M 6S
90,75,17M 52S
92,75,17M 15S
92,77,16M 20S
93,77,16M 13S
95,77,16M 6S
95,79,15M 58S
97,79,15M 46S
97,81,15M 27S
97,83,15M 13S
97,84,15M 13S
99,84,14M 57S
102,84,14M 31S
102,86,14M 13S
105,86,13M 50S
105,87,13M 21S
105,88,13M 21S
105,91,12M 58S
105,94,12M 45S
107,94,12M 32S
107,95,12M 21S
107,96,12M 21S
109,96,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
109,98,11M 25S
109,100,10M 59S
111,100,10M 43S
111,102,10M 32S
112,102,10M 24S
112,104,10M 9S
114,104,9M 47S
114,106,9M 23S
115,106,9M 11S
116,106,9M 11S
116,108,8M 48S
118,108,8M 15S
119,108,7M 40S
120,108,7M 40S
120,110,7M 2S
122,110,6M 46S
123,110,6M 46S
123,112,6M 37S
125,112,6M 24S
125,115,6M 13S
126,115,5M 55S
129,115,5M 52S
130,115,5M 2S
130,116,4M 2S
130,117,4M 2S
130,120,3M 14S
132,120,2M 51S
132,122,2M 44S
134,122,2M 36S
134,125,2M 20S
136,125,1M 46S
136,128,1M 37S
138,128,1M 15S
138,129,40S
138,130,40S
139,130,37S
140,130,37S
142,130,22S
142,133,15S
End of 4th quarter,NA,0S
