Houston,Minnesota,time_rem
12-32,11-34,48M 0S
0,0,47M 47S
0,1,47M 47S
3,1,47M 35S
3,4,47M 25S
3,6,46M 25S
5,6,45M 26S
5,7,45M 18S
5,8,45M 18S
5,11,44M 48S
8,11,44M 26S
10,11,43M 57S
10,14,43M 39S
12,14,43M 11S
12,16,43M 1S
14,16,42M 49S
17,16,42M 22S
17,18,41M 52S
19,18,41M 31S
19,20,41M 19S
20,20,40M 42S
Jump ball: K. Towns vs. K. Martin (J. McDaniels gains possession),NA,40M 22S
20,22,40M 4S
20,25,39M 44S
21,25,39M 6S
21,27,38M 55S
23,27,38M 35S
23,28,38M 17S
26,28,37M 22S
26,30,37M 3S
26,31,36M 51S
26,33,36M 25S
29,33,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,35,35M 23S
29,37,34M 48S
30,37,34M 34S
31,37,34M 34S
32,37,34M 34S
34,37,33M 56S
36,37,33M 34S
36,39,33M 5S
39,39,32M 52S
39,41,32M 39S
39,43,31M 49S
40,43,30M 22S
41,43,30M 22S
41,45,30M 7S
41,47,29M 41S
44,47,29M 31S
46,47,29M 10S
49,47,28M 50S
49,49,28M 32S
52,49,28M 15S
52,51,27M 44S
54,51,27M 14S
54,54,26M 58S
55,54,26M 41S
57,54,26M 11S
60,54,25M 25S
63,54,24M 53S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,54,23M 27S
65,57,23M 3S
65,59,22M 22S
68,59,22M 6S
70,59,21M 22S
70,62,20M 46S
72,62,19M 57S
75,62,19M 5S
75,64,18M 30S
77,64,17M 31S
77,65,17M 21S
80,65,17M 5S
80,67,16M 54S
80,70,16M 6S
82,70,15M 41S
84,70,15M 4S
86,70,14M 46S
86,72,14M 33S
88,72,14M 15S
91,72,13M 50S
91,74,13M 30S
91,75,12M 25S
91,76,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,78,11M 26S
94,78,11M 10S
94,80,10M 54S
94,82,10M 24S
94,83,10M 24S
95,83,9M 3S
96,83,9M 3S
99,83,8M 41S
99,85,7M 47S
101,85,7M 31S
101,86,7M 4S
101,87,7M 4S
101,90,5M 57S
101,92,5M 38S
101,94,4M 49S
101,95,4M 5S
101,96,4M 5S
101,99,3M 29S
101,100,2M 51S
101,101,2M 51S
Jump ball:  vs. ,NA,2M 14S
101,103,1M 49S
101,104,14S
101,105,14S
101,106,5S
101,107,5S
End of 4th quarter,NA,0S
