New Orleans,Chicago,time_rem
11-13,10-14,48M 0S
2,0,47M 42S
2,3,47M 29S
5,3,47M 12S
5,5,46M 51S
7,5,46M 36S
8,5,46M 36S
8,8,46M 21S
11,8,46M 11S
12,8,46M 11S
14,8,45M 32S
14,9,45M 20S
15,9,45M 7S
16,9,45M 7S
16,12,44M 41S
18,12,44M 20S
18,14,44M 7S
18,17,43M 19S
18,19,43M 3S
18,20,43M 3S
21,20,42M 47S
21,22,42M 14S
21,25,41M 7S
21,28,40M 33S
23,28,40M 9S
23,31,39M 51S
24,31,39M 10S
25,31,39M 10S
25,34,38M 57S
27,34,38M 37S
27,37,37M 50S
29,37,37M 29S
29,39,37M 8S
29,42,36M 53S
31,42,36M 39S
32,42,36M 30S
32,44,36M 13S
34,44,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,47,35M 13S
36,47,34M 43S
37,47,34M 14S
38,47,34M 14S
39,47,33M 54S
39,49,33M 33S
42,49,33M 20S
44,49,32M 59S
44,52,32M 47S
46,52,32M 27S
46,53,32M 19S
46,54,32M 19S
49,54,32M 3S
51,54,31M 35S
51,57,31M 16S
52,57,31M 8S
54,57,30M 34S
Jump ball: G. Temple vs. J. Redick (Z. LaVine gains possession),NA,30M 17S
54,59,30M 13S
57,59,29M 24S
57,61,29M 8S
59,61,28M 39S
59,63,28M 24S
61,63,27M 33S
61,66,27M 14S
64,66,26M 56S
66,66,26M 28S
67,66,25M 57S
68,66,25M 57S
71,66,25M 17S
74,66,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,67,23M 6S
74,70,22M 35S
74,73,21M 51S
75,73,21M 40S
76,73,21M 40S
76,75,21M 26S
76,78,20M 51S
76,80,20M 21S
76,83,20M 2S
76,85,19M 3S
79,85,18M 45S
79,87,18M 32S
81,87,17M 53S
81,90,17M 40S
81,93,17M 7S
81,95,15M 36S
81,96,14M 54S
81,97,14M 54S
83,97,14M 42S
83,100,13M 56S
86,100,13M 20S
86,103,12M 43S
88,103,12M 29S
88,106,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,106,11M 48S
92,106,11M 3S
93,106,10M 28S
93,108,10M 12S
95,108,9M 58S
95,110,9M 44S
96,110,9M 16S
96,112,8M 55S
98,112,8M 12S
98,113,7M 56S
100,113,7M 42S
101,113,7M 11S
102,113,7M 11S
102,115,6M 52S
104,115,6M 44S
104,118,6M 18S
105,118,6M 4S
106,118,6M 4S
106,120,5M 6S
106,123,4M 44S
108,123,4M 25S
108,125,4M 1S
111,125,3M 55S
113,125,2M 45S
113,127,1M 17S
113,129,44S
116,129,29S
End of 4th quarter,NA,0S
