Boston,Utah,time_rem
12-11,20-5,48M 0S
0,0,47M 35S
3,0,47M 2S
6,0,46M 12S
6,2,45M 45S
9,2,45M 34S
9,4,45M 24S
9,7,44M 58S
12,7,44M 36S
12,10,44M 18S
12,13,43M 15S
15,13,42M 54S
17,13,42M 23S
20,13,41M 52S
20,15,41M 37S
20,17,40M 57S
22,17,40M 38S
23,17,39M 34S
24,17,39M 34S
24,19,39M 18S
27,19,39M 0S
27,21,37M 0S
27,22,37M 0S
27,24,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,24,35M 26S
Jump ball: J. Tatum vs. J. Ingles (R. Williams gains possession),NA,34M 22S
29,26,33M 41S
29,28,32M 47S
29,30,32M 5S
31,30,31M 12S
33,30,30M 54S
34,30,30M 54S
34,33,30M 7S
36,33,29M 42S
36,36,29M 25S
38,36,28M 27S
38,39,27M 58S
38,42,27M 31S
38,44,26M 56S
41,44,26M 34S
43,44,25M 56S
43,45,25M 43S
43,46,25M 43S
45,46,25M 29S
45,48,24M 46S
47,48,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,48,23M 49S
49,48,23M 49S
49,50,23M 36S
49,51,23M 14S
49,52,23M 14S
52,52,22M 57S
52,53,22M 32S
53,53,22M 18S
54,53,22M 18S
54,55,22M 7S
54,57,21M 27S
54,60,20M 45S
54,61,20M 45S
56,61,20M 29S
58,61,20M 1S
58,64,19M 57S
58,66,19M 22S
58,68,18M 39S
58,69,18M 15S
58,70,18M 15S
60,70,17M 56S
60,71,17M 46S
60,72,17M 46S
62,72,17M 31S
62,73,17M 25S
62,74,17M 25S
64,74,17M 1S
64,77,16M 40S
65,77,16M 18S
68,77,15M 42S
68,78,15M 34S
68,79,15M 34S
69,79,15M 19S
70,79,15M 19S
70,81,14M 41S
70,83,14M 24S
71,83,14M 7S
72,83,14M 7S
73,83,13M 40S
74,83,13M 40S
74,86,12M 53S
74,87,12M 53S
75,87,12M 47S
76,87,12M 47S
76,90,12M 35S
79,90,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,90,11M 18S
81,91,10M 58S
81,92,10M 58S
84,92,10M 45S
84,93,10M 30S
84,94,10M 30S
86,94,10M 19S
86,97,9M 49S
89,97,9M 33S
89,99,9M 13S
91,99,8M 58S
93,99,8M 15S
95,99,7M 51S
95,100,7M 32S
95,101,7M 32S
97,101,6M 5S
97,104,5M 59S
99,104,5M 34S
99,105,5M 23S
101,105,5M 2S
101,108,4M 44S
102,108,3M 28S
103,108,3M 28S
104,108,3M 10S
104,111,3M 4S
104,112,2M 38S
104,115,2M 9S
106,115,1M 53S
106,118,1M 33S
106,120,1M 3S
108,120,55S
108,122,37S
End of 4th quarter,NA,0S
