Miami,Oklahoma City,time_rem
14-17,12-19,48M 0S
0,3,47M 43S
3,3,47M 17S
3,5,47M 4S
3,7,46M 36S
6,7,46M 1S
6,9,45M 17S
6,12,44M 37S
9,12,44M 23S
12,12,43M 14S
12,14,42M 47S
14,14,42M 25S
16,14,41M 51S
18,14,41M 23S
21,14,40M 19S
21,16,39M 18S
21,18,38M 4S
21,21,36M 40S
23,21,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,24,34M 31S
25,24,34M 18S
25,26,34M 5S
25,28,33M 22S
26,28,32M 40S
26,30,32M 23S
28,30,32M 6S
28,31,31M 40S
28,32,31M 40S
29,32,31M 29S
30,32,31M 29S
30,34,31M 0S
32,34,29M 27S
32,37,29M 19S
33,37,29M 7S
34,37,29M 7S
34,38,28M 43S
34,39,28M 13S
34,40,28M 13S
34,41,27M 53S
35,41,27M 22S
36,41,27M 22S
36,42,26M 53S
37,42,26M 41S
38,42,26M 41S
38,43,26M 29S
38,44,26M 29S
40,44,25M 53S
40,46,25M 30S
40,49,25M 9S
43,49,24M 43S
43,51,24M 31S
44,51,24M 17S
45,51,24M 17S
45,54,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,54,23M 41S
49,54,23M 6S
49,57,22M 23S
52,57,21M 56S
52,58,21M 41S
52,59,21M 41S
52,60,21M 41S
53,60,20M 47S
54,60,20M 47S
54,63,20M 24S
56,63,20M 5S
56,65,18M 13S
57,65,18M 5S
58,65,18M 5S
58,67,17M 33S
59,67,17M 19S
60,67,17M 19S
63,67,16M 17S
65,67,15M 50S
65,70,15M 24S
67,70,15M 13S
68,70,15M 13S
70,70,14M 47S
73,70,14M 15S
75,70,13M 49S
75,71,13M 11S
75,72,13M 11S
78,72,12M 51S
79,72,12M 51S
79,75,12M 31S
79,77,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,77,11M 27S
84,77,10M 58S
85,77,10M 11S
87,77,8M 34S
89,77,7M 39S
91,77,7M 18S
94,77,6M 51S
94,79,6M 22S
97,79,5M 59S
97,82,5M 40S
100,82,4M 53S
100,85,4M 27S
100,87,3M 0S
102,87,2M 39S
104,87,1M 37S
105,87,1M 37S
105,90,1M 27S
108,90,57S
108,91,33S
108,92,33S
108,94,5S
End of 4th quarter,NA,0S
