LA Lakers,Sacramento,time_rem
24-13,14-21,48M 0S
3,0,47M 35S
3,2,47M 14S
5,2,45M 58S
5,4,45M 41S
7,4,45M 11S
7,6,44M 50S
7,7,44M 50S
9,7,44M 33S
11,7,43M 56S
11,9,43M 45S
13,9,43M 29S
13,11,43M 5S
15,11,42M 51S
18,11,41M 39S
21,11,41M 19S
23,11,41M 0S
25,11,40M 20S
25,13,40M 5S
27,13,39M 14S
27,14,38M 43S
27,15,38M 43S
27,18,38M 15S
29,18,37M 40S
29,19,37M 33S
31,19,37M 17S
31,21,36M 59S
31,23,36M 48S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,26,35M 43S
33,26,34M 51S
33,27,34M 50S
34,27,34M 11S
35,27,34M 11S
37,27,33M 50S
37,28,33M 41S
37,29,33M 41S
39,29,33M 18S
39,30,33M 9S
39,33,32M 37S
40,33,32M 19S
41,33,32M 19S
41,35,31M 57S
41,37,31M 27S
43,37,31M 11S
43,40,30M 53S
43,43,30M 26S
43,45,30M 3S
46,45,29M 49S
46,47,29M 30S
48,47,29M 17S
50,47,28M 47S
50,50,28M 36S
53,50,28M 10S
53,52,27M 55S
55,52,27M 17S
55,54,27M 0S
55,56,26M 18S
55,57,26M 18S
57,57,26M 4S
57,59,25M 22S
59,59,25M 1S
59,61,24M 51S
60,61,24M 43S
61,61,24M 8S
61,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,65,23M 45S
61,67,23M 5S
61,69,22M 42S
64,69,22M 18S
66,69,21M 37S
68,69,21M 17S
68,71,20M 54S
68,73,19M 46S
70,73,19M 28S
72,73,18M 50S
72,75,18M 35S
74,75,18M 16S
77,75,16M 45S
80,75,16M 7S
80,77,15M 52S
80,79,15M 24S
82,79,14M 37S
82,81,14M 23S
82,82,14M 23S
84,82,14M 5S
84,85,13M 51S
86,85,13M 9S
86,87,12M 49S
88,87,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,87,11M 39S
92,87,10M 59S
92,90,10M 42S
94,90,10M 25S
94,92,9M 26S
94,95,8M 55S
95,95,8M 38S
95,98,8M 22S
97,98,8M 0S
97,100,7M 41S
97,103,7M 11S
100,103,6M 47S
100,105,6M 32S
100,108,6M 8S
103,108,5M 55S
103,109,5M 40S
105,109,5M 29S
105,110,5M 13S
105,111,5M 13S
108,111,4M 57S
108,113,4M 24S
111,113,3M 48S
111,115,2M 51S
113,115,2M 33S
115,115,2M 4S
115,117,1M 5S
117,117,56S
118,117,56S
118,119,50S
119,119,42S
120,119,42S
120,121,30S
120,122,1S
120,123,1S
End of 4th quarter,NA,0S
