Brooklyn,Cleveland,time_rem
9-7,7-7,48M 0S
0,2,47M 40S
0,4,46M 47S
2,4,46M 26S
2,6,45M 48S
4,6,45M 14S
7,6,44M 51S
7,8,44M 21S
9,8,44M 3S
11,8,43M 35S
11,10,43M 6S
14,10,42M 44S
16,10,42M 21S
18,10,41M 54S
18,12,41M 43S
18,13,41M 43S
20,13,41M 23S
20,15,41M 0S
23,15,40M 47S
23,17,38M 55S
23,19,37M 22S
23,20,37M 8S
23,21,37M 8S
23,24,36M 45S
23,27,36M 1S
23,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,30,35M 39S
23,32,35M 1S
25,32,34M 18S
26,32,34M 18S
29,32,32M 58S
31,32,31M 56S
31,34,31M 45S
34,34,31M 29S
34,37,31M 10S
36,37,30M 55S
36,39,30M 37S
38,39,29M 43S
38,41,29M 24S
38,42,29M 24S
40,42,27M 44S
40,45,27M 12S
42,45,26M 21S
43,45,25M 58S
43,47,25M 45S
45,47,25M 35S
45,49,24M 44S
47,49,24M 35S
48,49,24M 18S
49,49,24M 18S
49,51,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,54,23M 34S
51,54,23M 5S
52,54,23M 5S
55,54,22M 44S
55,57,22M 20S
58,57,22M 2S
58,59,21M 48S
58,62,21M 21S
58,64,20M 55S
59,64,20M 42S
60,64,20M 42S
60,66,20M 32S
60,67,19M 37S
60,68,19M 37S
61,68,18M 56S
62,68,18M 56S
62,70,18M 40S
64,70,18M 30S
66,70,17M 42S
66,71,17M 31S
66,73,16M 58S
67,73,16M 50S
67,75,16M 37S
69,75,16M 20S
69,78,15M 53S
69,80,15M 26S
69,81,14M 55S
69,82,14M 55S
71,82,14M 7S
73,82,13M 38S
73,85,13M 23S
73,87,13M 2S
76,87,12M 33S
78,87,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,90,11M 44S
80,90,11M 24S
80,92,11M 7S
81,92,10M 58S
82,92,10M 58S
83,92,10M 58S
83,94,10M 35S
83,96,9M 39S
85,96,9M 27S
85,98,8M 33S
88,98,8M 25S
89,98,8M 25S
89,101,8M 5S
92,101,7M 41S
92,104,7M 16S
95,104,7M 5S
96,104,6M 39S
97,104,6M 39S
97,105,6M 21S
100,105,5M 59S
102,105,5M 22S
102,107,4M 58S
105,107,4M 13S
105,110,3M 46S
107,110,3M 28S
107,112,2M 29S
109,112,2M 16S
110,112,1M 49S
111,112,1M 49S
111,113,1M 35S
113,113,1M 8S
Jump ball: K. Durant vs. J. Allen (J. Harris gains possession),NA,0S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: K. Durant vs. J. Allen (J. Green gains possession),NA,5M 0S
116,113,4M 42S
118,113,3M 47S
118,115,2M 40S
120,115,1M 53S
120,117,1M 31S
120,120,46S
123,120,28S
123,122,24S
124,122,18S
125,122,18S
125,124,10S
126,124,8S
127,124,8S
127,127,1S
End of 1st overtime,NA,0S
Start of 2nd overtime,NA,5M 0S
Jump ball: K. Durant vs. J. Allen (C. Osman gains possession),NA,5M 0S
127,128,4M 38S
127,131,3M 57S
127,134,3M 0S
128,134,2M 42S
129,134,2M 42S
129,136,2M 28S
131,136,2M 19S
131,139,1M 57S
131,142,1M 29S
131,145,1M 2S
133,145,50S
135,145,17S
135,146,16S
135,147,16S
End of 2nd overtime,NA,0S
