Detroit,Chicago,time_rem
8-20,12-15,48M 0S
0,3,47M 46S
3,3,47M 23S
4,3,46M 59S
5,3,46M 59S
5,4,46M 48S
5,5,46M 48S
7,5,46M 34S
9,5,46M 0S
9,7,45M 19S
11,7,45M 0S
11,9,44M 42S
Jump ball: J. Grant vs. Z. LaVine (W. Ellington gains possession),NA,43M 49S
13,9,43M 45S
13,11,43M 9S
15,11,42M 40S
15,13,42M 26S
18,13,42M 9S
18,15,41M 53S
20,15,41M 39S
20,16,41M 10S
23,16,40M 52S
23,18,40M 34S
25,18,40M 12S
25,20,39M 52S
28,20,39M 19S
28,22,38M 59S
30,22,38M 43S
30,25,38M 1S
33,25,37M 47S
33,27,37M 29S
35,27,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,27,34M 38S
38,27,34M 38S
40,27,32M 40S
41,27,32M 16S
42,27,32M 16S
43,27,32M 16S
45,27,31M 44S
47,27,30M 49S
47,29,30M 26S
49,29,30M 4S
49,31,29M 16S
52,31,28M 59S
52,32,28M 40S
54,32,27M 41S
54,34,27M 24S
57,34,27M 8S
59,34,26M 37S
59,37,26M 24S
61,37,26M 2S
61,38,25M 46S
61,39,25M 46S
61,41,24M 49S
61,43,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,45,22M 27S
61,47,21M 25S
61,49,21M 2S
63,49,20M 14S
63,51,19M 24S
63,53,19M 0S
63,54,19M 0S
65,54,18M 9S
65,56,17M 49S
65,58,16M 31S
65,61,15M 54S
66,61,15M 39S
67,61,15M 39S
67,63,15M 26S
67,64,15M 17S
67,66,14M 59S
68,66,13M 43S
69,66,13M 43S
69,68,13M 25S
71,68,13M 8S
73,68,12M 24S
73,70,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,72,10M 43S
73,74,10M 0S
73,76,9M 27S
73,77,9M 3S
73,78,9M 3S
75,78,8M 47S
75,80,7M 38S
76,80,7M 19S
77,80,7M 19S
77,82,6M 36S
79,82,6M 21S
81,82,5M 52S
81,85,5M 36S
82,85,5M 11S
83,85,5M 11S
83,87,4M 32S
84,87,4M 23S
85,87,4M 23S
86,87,4M 2S
86,89,3M 44S
86,90,3M 44S
86,91,3M 7S
88,91,2M 50S
89,91,2M 50S
89,94,2M 26S
92,94,2M 4S
92,96,1M 50S
94,96,1M 36S
94,97,1M 22S
96,97,1M 17S
96,100,1M 1S
98,100,44S
98,103,29S
100,103,21S
100,104,17S
101,104,9S
102,104,9S
102,105,7S
End of 4th quarter,NA,0S
