Atlanta,LA Lakers,time_rem
22-20,28-14,48M 0S
0,2,47M 46S
2,2,47M 20S
3,2,46M 49S
4,2,46M 49S
4,4,46M 33S
4,6,46M 4S
6,6,45M 57S
6,7,45M 39S
6,8,45M 39S
8,8,45M 25S
8,9,44M 6S
8,10,44M 6S
11,10,43M 48S
14,10,43M 19S
16,10,42M 51S
16,11,41M 17S
18,11,40M 49S
18,13,40M 37S
21,13,40M 21S
21,15,39M 32S
22,15,39M 24S
23,15,39M 24S
23,16,38M 51S
23,19,38M 18S
25,19,37M 27S
25,22,37M 9S
25,25,36M 45S
28,25,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,25,35M 38S
30,27,35M 17S
32,27,35M 5S
32,30,34M 43S
34,30,34M 19S
34,33,33M 53S
36,33,33M 27S
38,33,32M 26S
38,36,32M 2S
38,38,30M 56S
40,38,30M 41S
40,40,30M 19S
40,41,29M 41S
40,42,28M 51S
40,43,28M 51S
42,43,28M 34S
42,45,28M 18S
42,46,28M 18S
44,46,28M 7S
46,46,27M 35S
46,48,27M 9S
48,48,26M 48S
48,50,26M 29S
48,52,26M 3S
50,52,25M 52S
52,52,25M 21S
52,53,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,53,23M 39S
57,53,22M 25S
58,53,21M 7S
59,53,21M 7S
61,53,20M 35S
64,53,19M 11S
64,55,17M 52S
64,57,17M 30S
67,57,16M 36S
67,59,16M 18S
69,59,16M 2S
69,61,15M 43S
71,61,15M 31S
74,61,14M 25S
74,62,14M 3S
74,63,14M 3S
74,65,13M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,67,11M 47S
77,67,11M 26S
77,69,11M 6S
79,69,10M 11S
82,69,9M 40S
82,71,9M 19S
85,71,8M 59S
85,73,8M 40S
87,73,8M 22S
87,75,6M 48S
87,78,6M 17S
89,78,6M 2S
89,80,4M 1S
92,80,3M 47S
92,83,3M 31S
92,85,2M 4S
95,85,1M 44S
95,86,1M 42S
95,87,1M 42S
97,87,1M 18S
97,89,59S
97,90,30S
97,91,30S
97,92,30S
98,92,25S
99,92,25S
99,94,8S
End of 4th quarter,NA,0S
