Detroit,Philadelphia,time_rem
20-48,47-21,48M 0S
0,0,47M 41S
0,2,47M 27S
0,4,46M 5S
0,5,46M 5S
0,7,45M 42S
2,7,45M 22S
2,9,45M 1S
2,11,44M 49S
4,11,44M 35S
4,13,44M 11S
5,13,43M 54S
5,15,43M 25S
7,15,42M 25S
7,16,42M 8S
7,17,42M 8S
8,17,41M 56S
9,17,41M 56S
9,19,41M 39S
9,21,41M 13S
11,21,40M 49S
13,21,40M 20S
15,21,39M 32S
15,23,39M 17S
15,25,38M 41S
15,27,37M 50S
15,28,37M 50S
15,29,37M 15S
15,30,37M 15S
17,30,37M 2S
17,32,36M 51S
17,34,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,37,35M 49S
17,39,35M 16S
19,39,34M 36S
22,39,33M 1S
24,39,32M 20S
24,41,32M 7S
26,41,31M 53S
28,41,31M 37S
30,41,31M 3S
30,43,30M 40S
33,43,30M 29S
33,45,29M 44S
35,45,29M 33S
37,45,29M 29S
37,46,29M 16S
37,47,29M 16S
37,48,28M 51S
37,49,28M 51S
37,51,28M 23S
37,52,27M 53S
39,52,27M 26S
39,54,27M 0S
42,54,26M 47S
43,54,25M 37S
43,56,25M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,58,23M 50S
43,59,23M 4S
43,60,23M 4S
43,63,22M 41S
46,63,22M 28S
46,66,22M 11S
48,66,21M 57S
49,66,21M 57S
52,66,21M 38S
52,69,21M 19S
54,69,20M 30S
54,72,20M 15S
56,72,20M 3S
56,74,19M 41S
58,74,18M 56S
58,76,18M 11S
60,76,17M 54S
60,77,17M 29S
60,78,17M 29S
60,79,17M 7S
60,80,17M 7S
62,80,16M 50S
63,80,16M 50S
65,80,16M 15S
65,82,15M 31S
67,82,15M 17S
67,83,14M 53S
69,83,14M 42S
71,83,14M 21S
71,85,13M 58S
71,86,13M 58S
72,86,13M 45S
72,89,12M 54S
73,89,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,92,11M 23S
76,92,10M 29S
76,95,10M 7S
79,95,9M 31S
81,95,9M 12S
81,97,8M 54S
84,97,8M 5S
85,97,8M 5S
85,98,7M 54S
85,99,7M 54S
87,99,7M 37S
87,101,7M 14S
87,102,6M 50S
89,102,6M 17S
89,103,6M 3S
89,104,6M 3S
89,106,5M 7S
91,106,4M 45S
91,108,4M 28S
91,110,3M 54S
91,113,3M 11S
94,113,2M 33S
94,115,2M 19S
94,116,1M 54S
94,117,1M 54S
94,118,1M 54S
97,118,1M 41S
100,118,1M 13S
102,118,38S
103,118,5S
104,118,5S
End of 4th quarter,NA,0S
