Philadelphia,Milwaukee,time_rem
39-20,36-22,48M 0S
0,2,47M 41S
0,5,47M 16S
0,8,46M 53S
0,10,46M 25S
2,10,46M 8S
2,12,45M 48S
4,12,45M 14S
4,15,44M 53S
4,17,44M 27S
6,17,44M 8S
8,17,43M 47S
8,20,43M 31S
8,21,42M 55S
10,21,42M 34S
10,24,42M 22S
10,26,41M 58S
10,28,41M 14S
13,28,41M 0S
13,31,40M 43S
13,33,40M 17S
16,33,40M 0S
19,33,39M 27S
21,33,38M 53S
21,34,38M 45S
21,35,38M 45S
21,36,38M 45S
22,36,38M 6S
23,36,38M 6S
23,38,37M 55S
23,39,36M 57S
23,40,36M 38S
26,40,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,40,35M 36S
29,40,34M 11S
29,43,33M 58S
32,43,33M 45S
32,45,33M 32S
32,47,33M 18S
34,47,33M 4S
34,49,32M 49S
36,49,32M 32S
36,51,32M 22S
39,51,32M 10S
39,54,31M 55S
41,54,31M 34S
41,57,31M 26S
44,57,31M 12S
44,59,30M 37S
46,59,30M 20S
46,62,30M 7S
48,62,29M 54S
49,62,29M 54S
49,64,29M 10S
49,67,28M 57S
51,67,28M 28S
51,70,28M 16S
54,70,28M 0S
56,70,27M 20S
56,73,26M 40S
58,73,26M 16S
60,73,25M 39S
60,75,25M 26S
60,77,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,77,23M 31S
62,79,23M 17S
64,79,22M 52S
64,81,22M 40S
66,81,22M 22S
69,81,21M 49S
70,81,21M 19S
70,83,20M 12S
70,86,19M 42S
72,86,19M 27S
72,88,18M 46S
72,91,18M 24S
74,91,17M 58S
74,92,17M 50S
77,92,17M 24S
77,94,17M 15S
78,94,16M 28S
79,94,16M 28S
80,94,16M 7S
81,94,16M 7S
83,94,15M 27S
85,94,14M 51S
85,97,14M 31S
85,98,14M 5S
85,99,14M 5S
85,102,13M 29S
87,102,13M 6S
87,105,12M 50S
87,108,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,108,11M 28S
91,108,10M 48S
91,111,10M 39S
93,111,10M 13S
93,112,9M 54S
95,112,9M 29S
95,114,9M 17S
98,114,9M 6S
98,116,8M 53S
98,117,8M 32S
98,118,8M 32S
101,118,8M 20S
101,120,8M 4S
103,120,7M 43S
103,122,6M 55S
104,122,6M 30S
105,122,6M 30S
107,122,5M 17S
109,122,2M 44S
110,122,2M 44S
110,123,2M 25S
111,123,44S
113,123,22S
115,123,13S
117,123,7S
117,124,6S
End of 4th quarter,NA,0S
